Title,URL,Source,Type,DateTime,Article,Location,Keywords1,Keywords2
Прокурор Димитрова за обезобразеното момиче: Възможно е да се стигне до хипотезата за опит за убийство,https://bntnews.bg/news/prokuror-dimitrova-za-obezobrazenoto-momiche-vazmozhno-e-da-se-stigne-do-hipotezata-za-opit-za-ubiystvo-1242753news.html,bntnews.bg,TV news,2023-07-31 08:09:00,"Възможно е да се стигне до хипотезата за опит за убийство при случая с обезобразеното момиче, но на този етап е твърде рано да се говори за това. Това обясни пред БНТ районният прокурор на Стара Загора Таня Димитрова. Тя обясни, че за изясняване на случая са разпитани хора от по-широкия приятелски кръг на момичето. То е споделило на бившия си приятел за отправяно насилие и заплахи от страна на обвиняемия Георги Николаев. Тези показания са послужили на разследващите да призоват и самата пострадала на разпит, в който тя също е потвърдила за заплахите. Първият разпит на момичето е проведен още докато е на лечение в болницата. ""Тя е била в посттравматично състояние. Затова впоследствие успяхме да извършим по-информативен разпит и тя да започне да връща в известна степен спомени отпреди насилието"". ""Направо те убивам"" - каква е хронологията на бруталната агресия над момичето в Стара Загора Разследването разполага със заплахите, изпратени по чат и се прави техническа експертиза, за да се докаже подателят. Назначена е петорна съдебно-медицинска експертиза с експерти в областта на неврохирургията и пластичната хирургия. ""Сложно е да се квалифицира такова деяние, при което насилието е причинило множество травматични увреждания. Част от тях са категорично леки, но част от тях се надяваме експертизата да изясни касае ли е за множество седни телесни повреди и като цяло каква е телесната повреда. С оглед  резултата от експертизата и допълнителните разпити на пострадалата, евентуално ще докажем дали деянието е извършено по особен мъчителен начин и с особена жестокост"". ",Стара Загора,момиче,"уби, обезобраз, насил"
"""Направо те убивам"" - каква е хронологията на бруталната агресия над момичето в Стара Загора",https://bntnews.bg/news/napravo-te-ubivam-kakva-e-hronologiyata-na-brutalnata-agresiya-nad-momicheto-v-stara-zagora-1242723news.html,bntnews.bg,TV news,2023-07-30 20:00:00,"Съобщение с текст ""Направо те убивам"" е изпратил Георги Николаев на 18-годишното момиче - два дни преди да ѝ нанесе 21 разреза, довели до 400 медицински шева. На следващия - 25 юни, съобщението вече гласяло ""Ще ти закача главата"", а ден по-късно отишъл в дома ѝ с макетен нож, обезобразил я, счупил ѝ носа и обръснал главата ѝ. Тази хронология става ясна днес на извънредния брифинг в Стара Загора, който дадоха полиция и наблюдаващи прокурори. Вижте още в прякото включване на Иво Никодимов Разследващите в Стара Загора: Заканите с убийство са отправени два дни преди насилието над момичето Майката на момичето е убедена, че ако за предишните си деяния, които също са нанасяне на телесни повреди, обвиняемият Георги Николаев е получил не пробация, а по-тежко наказание днес дъщеря ѝ нямало да бъде част от статистиката на пострадалите от насилие. Майката на пострадалото момиче: Няма нормален живот, затворник е ""С нея работят психолози, ще бъде трудно и дълго, надяваме се да има резултат, но към момента няма такъв. Засега тя е затворник в самата себе си, в собствения си кошмар"", разказа пред БНР Ивелина, майка на пострадалото момиче. Психическото състояние на момичето след нападението се оказва и причината тя да бъде разпитана подробно от разследващите едва вчера, когато тя е била в състояние да разкаже подробности за кошмарната вечер в края на юни. ""След влизането на лицето в дома ѝ. Тя го вижда. Той нанася удари по главата ѝ. Тя казва оттам нищо не помня. Свестява се нарязана и търси помощ от съседка"", заяви Таня Димитрова, районен прокурор. Именно съседката на момичето вика Бърза помощ и първа подава сигнал в полицията. Разследващите бързо влизат в следите на Георги като заподозрян и го задържат ден по-късно. В дома му намират маската, ръкавиците и макетния нож, с който той в продължение на часове е рязал тялото на момичето. ""Като наказателно минало на лицето може да твърдим, че той има две подобни деяния извършени и това е третото. Първото деяние е приключило с административно наказание, второто е с пробация"", уточни старши комисар Лазар Христов, директор на Областната дирекция на МВР в Стара Загора. В лекарската документация подробно са описани 21 порезни рани по тялото на момичето с 400 шева, счупен нос и данни за комоцио. Районният съд в Стара Загора приема тезата на прокуратурата, че това е средна телесна повреда и оставя Георги в ареста. Окръжният съд обаче намира противоречия в свидетелските показания дали 18-годишното момиче е губило съзнание. Така делото докладвано от съдия Татяна Гьонева Коева претърпява обрат, като съдебният състав приема, че на 18-годишното момиче е нанесена лека телесна повреда и пуска обвиняемия от ареста без никаква мярка за неотклонение. Към този момент окончателната съдебномедицинска експертиза още не е готова. ""Ние не можем да коментираме решенията на съда, нямаме това право. Ние сме прокуратура - обвиняваме и искаме. Аз считам като административен ръководител, че на този етап нещата по това разследване вървят много добре. Събран е голям обем от доказателства"", каза Дичо Атанасов, Окръжна прокуратура-Стара Загора. Разследващите продължават да издирват свидетели и стигат до бившия приятел на пострадалата. Той разказва, че след края на интимната им връзка двамата са запазили приятелските си отношения и тя му споделяла, че от март месец Георги започнал да я заплашва с убийство. Ден преди нападението 18-годишната разказала на бившия си приятел за нови заплахи. Прокуратурата обяви нулева толерантност към всички случаи на насилие и хулигански прояви ""На 24-и обвиняемото лице е изпратило текстово съобщение ""Направо те убивам. На 25-и съобщението ""Ще ти закача главата. На следващия ден следва упражненото насилие"", допълни Таня Димитрова, районен прокурор. Съобщенията били изпратени през интернет приложение за чат разговори, които от прокуратурата твърдят, че Георги бил изтрил. Разследващите обаче са успели да ги възстановят и така срещу обвиняемия образуват ново разследване, по което той е задържан на входа на Стара Загора тази сутрин, а малко по-късно му е повдигнато ново обвинение за закана за убийство. ""Ще изготвим психологически портрет на извършителя заради проявената жестокост, агресия и садизъм"", добави Жанета Недкова, наблюдаващ прокурор. Прокуратурата събира доказателства и за това, че нараняванията върху тялото на 18 годишното момиче са нанесени с особена жестокост, което би довело до повдигането на по-тежко обвинение на Георги. ""Предстои назначаване на петорна съдебномедицинска експертиза от трима съдебни лекари, неврохирург с оглед обезобразяването по тялото и лицето на пострадалата, за да видим дали е налице медико квалифициращ признак обезобразяване, което отново е средна телесна повреда"", коментира Жанета Недкова, наблюдаващ прокурор"", заяви Жанета Недкова, наблюдаващ прокурор. БНТ: Защо не го водите опит за убийство? ""Това е въпрос на преценка на наблюдаващия прокурор. Може и дотам да се стигне в един момент. От ключово значение е изготвянето на комплексната експертиза"", допълни Жанета Недкова. Днес пред БНТ проговори и приятелка на пострадалата, която пък е заплашвана със съобщения в социалната мрежа от Виктор Костов, който със свои статуси подкрепя действията на Георги Николаев. СПЕЦИАЛНО: Пред БНТ говори жената, дала гласност на случая с обезобразеното момиче ""Вчера на обяд в 12:24 видях, че имам чакащо съобщение в социалните мрежи със заплахи към мен във връзка със случая с нарязаното момиче в Стара Загора с макетен нож. Бях предупредена да внимавам какво говоря и пиша и да очаквам, че ще ме преследва бяло BMW. Ядосана съм, страх ме е не само за мен, а и за семейството ми, но в случая той каза, че профилът му е бил хакнат. Моят въпрос е откога е хакнат, ако наистина е така, и ако не ме е заплашил той, кой го е направил?"", каза пред БНТ От дома на Виктор Костов са иззети лаптоп и мобилни устройства, чиято експертиза ще каже дали той е отправил заплахите или профила му наистина е бил хакнат. На този етап разследващите нямат достатъчно доказателства, за да му повдигнат обвинение. И днес съдия Татяна Гьонева не отговори на обажданията. В родната ѝ къща екипът на БНТ се натъкна на множество бездомни кучета. Хората в селото твърдят, че тя се грижи за тях, като идва да им оставя храна. По темата работят: Иво Никодимов и Тихомир Игнатов",Стара Загора,момиче,"уби, обезобраз, насил"
"Майката на пострадалото момиче: Няма нормален живот, затворник е",https://bntnews.bg/news/maikata-na-postradaloto-momiche-nyama-normalen-zhivot-zatvornik-e-1242703news.html,bntnews.bg,TV news,2023-07-30 16:55:00,"""Няма отключване на разговор от нейна страна. Видно се чувства притеснена. Работят психолози с нея, но към момента все още няма резултат, необходимо е време. Психологическите вреди са много големи. Емоционалните щети по нея пречат на нейния нормален живот. Тя няма такъв, тя е затворник в самата себе си, в страховете си. Допускам като възможна хипотеза, че това би могло да бъде дори опит за убийство, но ще се въздържа да кажа защо, съвет от адвокат"", заяви пред БНР майката на пострадалото в Стара Загора момиче. Тя призовава за тежки наказания за хора, които дръзват да посегнат на друго човешко същество. ""Не съм получавала от него заплахи към мен в социалните мрежи"", допълни майката на момичето. По думите ѝ трябва да има промяна в законите. СПЕЦИАЛНО: Пред БНТ говори жената, дала гласност на случая с обезобразеното момиче ""Когато има посегателство върху човек да не съществува присъда на тази подобна като пробация, защото ако по предходния случай, който стана ясен, не беше наложена мярка подписка и това лице беше задържано, моята дъщеря нямаше да пострада. Няма да спрем дотук, продължаваме, докато не получим промяна"", каза още майката на пострадалото момиче. УНИЦЕФ за нарязаното с макетно ножче момиче: Нулева толерантност към насилието",Стара Загора,"момиче, майка","уби, обезобраз, насил"
Политически коментари за нападението над 18-годишното момиче в Стара Загора,https://bntnews.bg/news/politicheski-komentari-za-napadenieto-nad-18-godishnoto-momiche-v-stara-zagora-1242677news.html,bntnews.bg,TV news,2023-07-30 11:35:00,"Бруталното нападение над 18-годишно момиче в Стара Загора коментираха и политиците. Зверството, което потресе цяла България, провокира и политически коментари. Вицепремиерът и външен министър Мария Габриел каза, че подобен криминален сюжет буди възмущение и гняв. Тя припомни, че преди 2 месеца Закона за домашното насилие не е бил приет. ""Вие си спомняте, че преди два месеца Законът за домашното насилие не беше приет. Той днес е факт, така че тук според мен е много важно заедно със законодателната власт да се следи тенденция и това, което се случва и при необходимост те са тези, които могат да инициират промени, но отново настоявам на това законът като такъв е добре, че е приет. Виждаме и с този случай, че е важно изпълнението и начинът, по който се прилагат законите"", заяви Мария Габриел - вицепремиер и министър на външните работи. От ""Продължаваме Промяната също излязоха с остра позиция. Според Кирил Петков, нападателят трябва да бъде съден по най-строгия начин. ""Този случай потресе цялото ни общество. За мен това не е човек, това е звяр, който трябва да бъде осъден по най-строгия начин - възможен. И това, което мисля, че ще се случи с всичките промени, които правим, е че все повече прокурори ще трябва да дават ясна отчетност на начина, по който те движат тези дела и всъщност скрито в Конституцията и промените е точно това"", заяви Кирил Петков - съпредседател на ""Продължаваме Промяната"". ПП-ДБ за случая с малтретираното момиче: Няма място за толерантност към насилието Габриел и Петков коментираха и теми, свързани със съдебната реформа, както и проекта за промени в Конституцията. Според Мария Габриел, сега е моментът за активни дебати, а сигналите са положителни. Кирил Петков пък заяви, че се надява до края на годината конституционните промени вече да бъдат факт. Във връзка с нападението над български гражданин в РСМ външният министър заяви, че българската държава е в непрестанен контакт със здравните власти и следи постоянно какво е състоянието на сънародника ни. Вижте прякото включване на Тихомир Игнатов В Каспичан, и лидерът на ГЕРБ Бойко Борисов също коментира зверското нападение над 18-годишното момиче в Стара Загора: ""Аз няма да вляза в спорове кой е виновен - прокурора, съдията или коя от системите. По-скоро обществото, което търпи това домашно насилие и затова беше толкова важно да се приеме Закона за домашното насилие, беше важно да приемем и промените в Наказателния кодекс, за да може жертвите да не стават още веднъж жертви после по време на целия процес. Така, че вие сте свършили работата и се надявам институциите ще се поправят, ако някъде едните не са дали или другите не са ги видяли достатъчно. Това е чудовищен акт и аз мисля, че реакцията на обществото само може да ме радва."" ","Каспичан, Стара Загора",момиче,"домашно насилие, насил"
Задържаха сочения за извършител на бруталното нападение над младо момиче в Стара Загора,https://bntnews.bg/news/zadarzhaha-socheniya-za-izvarshitel-na-brutalnoto-napadenie-nad-mlado-momiche-v-stara-zagora-1242658news.html,bntnews.bg,TV news,2023-07-30 08:39:00,"Тази сутрин е арестуван мъжът, нападнал и обезобразил с макетен нож 18-годишно момиче от Стара Загора. Той е задържан за 72 часа, заради заплахи за убийство. Огромна вълна от възмущение предизвика фактът, че извършителят е на свобода и зверството е определено като лека телесна повреда. Момичето е с 400 шева и счупен нос.  Последствията от деянието първоначално са окачествени като средна, а след това - като лека телесна повреда, а Георги Николаев беше пуснат на свобода. Той работи като охрана в известно заведение в Стара Загора. Създаден е екип от прокурори, който да работи по случая с малтретираното момиче от Стара Загора По случая са разпитани свидетели и са събрани писмени доказателства. Наблюдаващият прокурор е постановил и мярка ""забрана на лицето да напуска територията на България"". След укриване на Георги Николаев, той е бил задържан от полицейски служители от ОД на МВР - Стара Загора на 30 юли 2023 г., около 7:30 ч., на входа на Стара Загора, пътувал е в автомобил. Той е осъждан за нанасяне на телесна повреда по хулигански подбуди. С постановление на наблюдаващия прокурор мъжът е задържан за срок до 72 часа, след предявяване на обвинение, съобщиха от държавното обвинение. Прокуратурата обяви нулева толерантност към всички случаи на насилие и хулигански прояви Свързахме се и с момичето, което е било заплашвано от приятел на обвиняемия за нарязаното с макетно ножче момиче. Тя пожела да запазим в анонимност нейната самоличност. Този, който я е заплашвал нея, беше задържан вчера от полицията. А неговата защитна версия е, че профила му във Фейсбук бил хакнат. ""Бях предупредена да внимавам какво говоря и пиша и да очаквам, че ще ме преследва бяло БМВ. Моментално се обадих на директора на полицията в Стара Загора. Съответно той ми каза да отида по най-бързия начин във Второ районно. Отидох, бях разпитана от дознател, криминалисти, беше образувано досъдебно производство. Междувременно те провериха съответно благодарение на социалните мрежи кога е роден, къде е роден и т.н. Беше арестуван в Раднево, съответно беше му направен облик, взеха му телефони, лаптоп и таблет. Ядосана съм, страх ме е, не само за мен, страх ме е за семейството ми. В случая лицето призна, че профила му бил хакнат. Моят въпрос е от кога е хакнат, ако наистина е така и ако не ме е заплашил, тогава кой го е направил.""  Момчето се казва Виктор Костов, неговата самоличност беше обявена от ""Мини Марица - изток"", където той работи. От предприятието съобщиха, че както заради заплахите срещу момичето, така и заради неговите позиции, изразени в социалната мрежа, той е отстранен от работа до приключване на проверката по този случай.  От заведението, където работи нападателят на 18-годишното момиче пък също обявиха, че са го освободили от работа и че той никога няма да работи там. По-късно днес се очаква на съвместен брифинг на полицията и прокуратурата да бъдат оповестени повече подробности по случая. Вижте повече в прякото включване на Иво Никодимов от Стара Загора","Раднево, Стара Загора",момиче,"уби, обезобраз, насил"
"НЕзащитените, които държавата не признава за жертви на домашно насилие",https://bntnews.bg/news/nezashtitenite-koito-darzhavata-ne-priznava-za-zhertvi-na-domashno-nasilie-1242502news.html,bntnews.bg,TV news,2023-07-29 09:54:00,"Те бяха напълно НЕзащитени от Закона за домашното насилие, защото той и до ден днешен защитава само жените, сключили брак или живеещи на семейни начала с насилника си.  Кристина, завинаги на 32  Тялото ѝ беше намерено с два куршума в гърдите и в багажника на кола. За убийството ѝ беше обвинен мъж, с когото тя е имала връзка, но не и брак. Дори да беше подала иск за ограничителна заповед, такава нямаше да има, защото нейният случай не попада в обхвата на Закона за домашното насилие. Единственият вариант пред Кристина е бил сигнал към полицията. В такъв случай полицаите трябва да съберат доказателства за насилие, което отнема време. Понякога фатално дълго време. Бившият приятел на жената, намерена мъртва в багажник на кола, е обвинен в убийството ѝ  Калина, завинаги на 25  Ревнив приятел. Това е диагнозата, която причинява смърт на Калина. Приятелят ѝ я убива, а криминалистите записват в досието на убиеца “убийство, извършено по изключително жесток начин”. И този случай не влиза в обхвата на защитените от домашно насилие, защото млади влюбени и щастливи - Калина и Васил все още не били сключили брак. Убийството в ""Банишора"" вероятно е извършено заради ревност  Божан, завинаги на 28  Убит от приятелката си. Божан прекарва последните си мигове в пореден скандал - приятелката му страдала от болезнена ревност. Убива го с гира, задушава го и опитва да изгори трупа. Тази история не прилича на никоя друга и в същото време е същата като историите, в които жертви са жени. Защото дори да беше сигнализирал за системен тормоз, Божан пак щеше да остане невидим за държавата, тъй като отношенията му с неговата приятелка не са били потвърдени с брак.  КАКВО УПЛАШИ ДЕПУТАТИТЕ, КОГАТО ПРОМЕНЯХА ЗАКОНА? Последните промени в Закона за домашно насилие имаха за цел да променят статистиката. От трибуната на Народното събрание депутати поискаха Законът да гледа еднакво на насилието причинено от съпруг и от приятел. Депутатите обаче видяха в това ""джендър идеология"". НС прие промени в Закона срещу домашното насилие, създаде регистър на случаите на педофилия  ПОСЛЕДНИЯТ ПОРЕДЕН СЛУЧАЙ Едно “почти убийство” без брак. 400 шева и обръсната глава. Зверско насилие причинено на 18-годишно момиче в Стара Загора от човека, с когото в продължение на 4 месеца е имала интимни отношения. Липсата на брак и съвместно съжителство не правят по-леки нараняванията. Младата жена оцелява, а съдебните лекари поставят случая ѝ в графата “лека телесна повреда”. Невиждана жестокост: Мъж обезобрази 18-годишно момиче с макетно ножче, пуснаха го под гаранция   ЩО Е ТО ЛЕКА ТЕЛЕСНА ПОВРЕДА? Всеки опит за справедливост на жени, жертви на домашно насилие, преминава през експертизата на лекари, които трябва да кажат колко сериозно пребита е жената и колко тежко би следвало да бъде наказанието за насилника. Лека телесна повреда лекарите виждат в следните случаи:  ТОГАВА КОЕ НАСИЛИЕ СЕ СЧИТА ЗА СРЕДНА ИЛИ ТЕЖКА ТЕЛЕСНА ПОВРЕДА?  Средна телесна повреда:  Тежка телесна повреда: Случаят в Стара Загора доказва, че дълбоки рани с макетно ножче по ръцете, краката и гърдите, счупен нос и насилствено обръсната глава са лека телесна повреда. И насилникът е пуснат на свобода след кратко задържане. Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube ",Стара Загора,домашно насилие,"домашно насилие, уби, обезобраз, преби, тормоз, насил, смърт"
Нападнатото с макетен нож момиче няма да получи заповед за незабавна защита срещу насилника си,https://bntnews.bg/news/napadnatoto-s-maketen-nozh-momiche-nyama-da-poluchi-zapoved-za-nezabavna-zashtita-sreshtu-nasilnika-si-1242519news.html,bntnews.bg,TV news,2023-07-28 20:13:00,"Невиждана жестокост и насилие над 18-годишно момиче от Стара Загора. Момичето е нарязано с макетно ножче от приятеля си в края на юни. Първоначално насилникът е задържан за 72 часа, но след това е пуснат под гаранция. Пострадалата няма да получи заповед за незабавна защита,тъй като няма брак или съжителство с насилника, а са в интимна връзка. Това е сред измененията, които не бяха приети от Народното събрание преди седмица. Внимание! Във видеото има шокиращи кадри, които показват резултата от брутално насилие над момичето. Нарязани ръце, крака и гърди. Над 400 шева. Носът на момичето е счупен, а след кървавата саморазправа мъжът е обръснал косата ѝ. Невиждана жестокост: Мъж обезобрази 18-годишно момиче с макетно ножче, пуснаха го под гаранция По време на нападението е бил с маска и ръкавици. Жертвата го е разпознала по усмивката и дрехите. Първоначално е бил под стража, а по-късно мярката е променена, тъй като уврежданията на момичето са окачествени от Старозагорския окръжен съд като ""лека телесна повреда"". За да търси правосъдие момичето, сега трябва да заведе дело срещу насилника. Наблюдаващият районен прокурор все пак е назначил нова експертиза. Чака се нейното заключение. Сега насилникът е на свобода и работи като охрана в заведение. От профила му в социалните мрежи става ясно, че тренира бойни спортове. В една от последните си публикации споделя, че един ден ще си купи танк и ще посети няколко адреса, за да се похвали. Не отговори на опитите ни да се свържем с него. Близките на момичето ни казаха, че предпочитат да замълчат. Жертвата от този случай е част от онези 30% пострадали от домашно насилие, които не живеят заедно с насилника. Въпреки че преди седмица депутатите промениха закона, искането на неправителствените организации, когато жертвата е в интимна връзка с насилника, да получава заповед за защита, не беше прието. ""Това е един от проблемите, които за съжаление измененията в закона за защита от домашно насилие не успя да отговори, защото към този момент, за да получат жертвите закрила, се изисква да бъдат във фактическо съпружеско съжителство. Тоест, да има установена трайна връзка и те да живеят под един покрив"", каза депутатът от ПП-ДБ Надежда Йорданова. ""За съжаление и към този момент домашано насилие в условията на интимна връзка не беше прието като обхват на закона и това е много тъжно, защото хиляди хора в България няма да имат право на закрила. Това е съдебно решение, което гарантира защита на пострадалото лице. Тоест на 100-500 метра от мястото на живеене да не се приближава, да се въздържа от насилие"", коментира Юлия Андонова от фондация П.У.Л.С. Премиерът Николай Денков заяви, че към такъв тип деяние не може да има толерантност. ""Случаят от човешка гледна точка е ужасен, като чух за какво става дума, бях потресен. Буди недоумение начинът, по който беше квалифицирано деянието и все пак се надявам да има развръзка в това отношение"". Сред приетите промени в Закона за защита от домашно насилие са достъп до безплатна правна помощ, създаване на национална структура, която ще кординира проблемите с домашното насилие, както и право на терапия. Срокът за подаване на молби за защита също е изменен - от един на три месеца. Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube",Стара Загора,момиче,"домашно насилие, обезобраз, насил, жертва"
"Невиждана жестокост: Мъж обезобрази 18-годишно момиче с макетно ножче, пуснаха го под гаранция",https://bntnews.bg/news/nevizhdana-zhestokost-mazh-obezobrazi-18-godishno-momiche-s-maketno-nozhche-pusnaha-go-pod-garanciya-1242460news.html,bntnews.bg,TV news,2023-07-28 12:00:00,"Невиждана жестокост и насилие над 18-годишно момиче от Стара Загора. Момичето е нападнато и нарязано с макетно ножче от приятеля си в края на юни. Нарязани са ръцете, краката и гърдите ѝ, а лекарите са направили над 400 шева на порезните рани. Носът на момичето е счупен, а насилникът е обръснал с машинка и цялата ѝ коса. По време на нападението той е бил с маска и ръкавици. Жертвата обаче го е разпознала по усмивката и дрехите. НЕзащитените, които държавата не признава за жертви на домашно насилие Първоначално е задържан за 72 часа, но след това е пуснат под гаранция от съда. Момичето е в изключително тежко състояние. Нейни близки и приятели настояват извършителят да бъде наказан с цялата строгост на закона. И недоумяват защо след като прокуратурата е поискала „задържане под стража"", а районният съд в Стара Загора е уважил искането, Окръжният съд е решил, че мярката следва да бъде отменена, тъй като уврежданията на момичето не застрашават живота ѝ, а телесната повреда е окачествена като лека. Развръзката по случая предстои. Внимание! Във видеото има шокиращи кадри, които показват резултата от брутално насилие над момичето.  Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube",Стара Загора,момиче,"домашно насилие, насил, жертва"
"НС прие промени в Закона срещу домашното насилие, създаде регистър на случаите на педофилия",https://bntnews.bg/news/ns-prie-promeni-v-zakona-sreshtu-domashnoto-nasilie-sazdade-registar-na-sluchaite-na-pedofiliya-1241685news.html,bntnews.bg,TV news,2023-07-21 19:23:00,"Парламентът прие на второ четене промени в Закона за защита от домашното насилие. С гласуваните промени се създава и поддържа Национален регистър за случаите на педофилия и Национална информационна система за превенция и защита от педофилия, осъществен на територията на страната или по отношение на български граждани в чужбина, които са потърсили помощ и подкрепа. Освен това - заповедите за незабавна защита на лица, жертва на домашно насилие, ще се изпълняват незабавно и ще се връчват на страните. Копие от заповедта ще се изпраща служебно, включително по факс или електронна поща, до районните управления на Министерството на вътрешните работи по настоящия адрес и на установения в хода на производството адрес на извършителя, както и по посочения от пострадалото лице адрес. Издадената заповед за незабавна защита не подлежи на обжалване. Тя действа до издаването на заповед за защита или до отказа на съда, освен ако съдът не посочи друг по-дълъг срок на действие. Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube ",,домашното насилие,"домашно насилие, насил, жертва"
ГДБОП разби група за трафик на жени,https://bntnews.bg/news/gdbop-razbi-grupa-za-trafik-na-zheni-1240895news.html,bntnews.bg,TV news,2023-07-14 20:21:00,"Група за трафик на жени, принуждавани на проституират в Германия, разби ГДБОП. Трафикантите подмамвали жертвите си по метода Loverboy - с романтични срещи, големи обещания и скъпи подаръци. След това ги насилвали и заплашвали, че ще посегнат и на семействата им. Задържани са шестима. Жертвите са подбирани изключително прецизно предимно през социалните мрежи. Обект на интерес са млади жени, които са с нисък социален статус. Това най-вероятно трафикантите са преценявали от снимките, които е публикувала набелязаната мишена. Следват ухажване, подаръци и пътешествия. Романтичният период обаче свършва бързо и отстъпва място на насилието. Жената се озовава в Германия, а нейни снимки и видеоклипове се качват в сайтове за запознанства заедно с цена за сексуални услуги. Срещу въпросната престъпна група ГДБОП нанесе няколко удара, но ръководителят все още се издирва. От началото на работата по случая са повдигнати обвинения на 12 души. Според статистиката на Националната комисия за борба с трафика на хора от началото на годината до юни са получени сигнали за 15 жени, жертви на трафик с цел сексуална експлоатация. За миналата година данните показват, че 62 жени са станали жертва на такъв тип трафик.   Анонимен сигнал от жена е приет миналата година на имейла на ГДБОП. ""Жертвата описва, че е принудително държана, използвано е насилие и е карана да проституира, като не са ѝ оставяни никакви пари. Всичко е взимано от страна на хората, които я държат буквално в плен"", обясни Калин Литов - заместник-директор на ГДБОП. Жената е спасена. Случаят се оказал част от мащабна схема за трафик. Профилът на мишената - жена на възраст между 18 и 35 години с финансови затруднения. Профилът на трафиканта - мъж, който осъществява контакт с нея в интернет. Той е грижовен, има скъпа кола и не е пестелив на пари и обещания. ""Правени са им скъпи подаръци, водени са на вечери, обяди, екскурзии, докато бъдат прилъгани и след това вече лицата разкриват истинската си същност. Започват физическа саморазправа, заплахи не само към лицето, но и неговото семейство, включително са били изнасилвани. След това транспортирани до Германия"", каза Калин Литов. След тези разкрития МВР нанася няколко удара върху групата. Последният е от 11 юни в Етрополе и Плевенско, когото са задържани шестима души. Иззети са доказателства и луксозни коли. Експертите съветват хората да бъдат бдителни към всеки непознат, който потърси контакт в социалните мрежи. ""Не са редки случаите, в които трафикантът откровено предлага момичето да работи в сферата на сексуалните услуги. Тези момичета понякога са склонни да подценят рисковете и на тази професия и се съгласяват. Впоследствие те се оказват принудително, много често и без да са избрали тази професия, принудени да вършат нещо, което не искат"", посочи Ернеста Русева - от Националната комисия за борба с трафика на хора.  ""Ние управляваме цялата телефонна линия за борба с трафика на хора - 0800 20 100. На нея получаваме всякакви сигнали от близки, приятели, самите жертви. Част от екипа са психолози, така че те са обучени много добре да предразположат жертвата за това да съберат най-необходимата информация, за да се реагира, особено ако жертвата е в ситуация на риск, къде се намира, знае ли в кой град е, коя държава"", допълни Моника Николова - директор на Фондация 21. ""Основно говорим за Германия, Великобритания, Италия, Кипър, Франция и Полша - това са държавите, които тази година излизат като основни страни за дестинация според нашите сигнали"", каза Ернеста Русева. Ако той е напълно непознат, но е щедър, ако няма работа, но разполага с много пари, ако обещава екзотични пътувания и приказен живот... Бъди внимателна, може би срещу теб стои трафикант, съветват експертите. И не се притеснявай да сигнализираш. Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube","Етрополе, Плевен, Роман, Русе", жени,"изнасил, насил, жертва"
