,0
това,506
след,493
жена,477
като,473
насилие,409
във,335
години,319
жената,313
които,308
има,289
беше,279
при,278
той,274
която,263
който,257
полицията,254
бъде,250
била,226
още,224
според,218
домашно,205
към,205
няма,204
пред,202
може,201
което,200
годишната,200
жени,186
часа,186
село,181
убийството,180
детето,180
съд,179
убийство,178
през,176
година,172
мъж,170
много,169
майка,167
където,164
срещу,163
бнт,160
най,158
помощ,154
днес,153
задържан,152
случая,151
или,150
дома,146
обаче,146
със,145
тази,144
смъртта,143
прокуратурата,141
когато,139
тях,138
защото,137
преди,136
софия,134
прокуратура,134
само,131
каза,130
момиче,130
годишна,130
вече,130
над,129
трябва,127
повече,127
мъжът,123
болница,121
него,120
без,118
под,117
последните,117
бил,116
две,114
деца,113
този,113
мвр,113
всички,111
нея,110
престъпление,109
време,107
момента,105
затвор,105
ако,105
една,103
около,103
тялото,103
дни,102
жените,102
бъдат,102
били,101
ден,98
годишен,97
така,97
заради,96
все,96
майката,95
българия,94
съм,94
момичето,92
няколко,92
хора,92
престъплението,91
youtube,90
център,90
както,89
нас,89
жертвата,89
вчера,89
късно,89
живота,88
семейството,87
състояние,85
един,85
място,84
сигнал,83
било,83
делото,83
пловдив,83
годишният,82
съобщиха,82
децата,81
сте,81
хората,80
ареста,80
новини,79
къщата,79
двамата,79
какво,79
производство,79
заяви,78
жертвите,78
дъщеря,77
разследването,77
данни,76
извършено,76
също,76
прокурор,75
канала,74
facebook,74
чуйте,74
работи,74
последвайте,74
домашното,73
варна,73
баба,72
дете,72
дали,72
близките,72
между,72
там,72
как,71
съда,70
болницата,70
информация,69
защита,69
насилието,69
града,68
опасност,68
край,68
месеца,67
тежко,67
нож,66
работа,66
лева,66
имало,65
instagram,63
могат,63
следете,63
годишно,62
случай,62
начин,62
други,61
мярка,61
тъй,61
съпругата,61
действия,60
бяха,60
започва,60
досъдебно,59
миналата,59
георги,59
двете,59
три,59
едно,58
снощи,58
родителите,58
съдът,58
въпреки,57
малко,57
свобода,57
годишния,57
често,57
близки,56
баща,56
срок,56
вижте,55
разследващите,55
част,55
умишлено,55
казва,54
пострадалата,54
сега,54
нещо,54
заедно,54
тези,53
два,53
продължава,53
русе,53
задържане,53
тогава,52
ясно,51
окръжен,51
докато,51
смърт,51
жертва,51
жертви,51
отделение,50
обвинение,50
предстои,50
отново,49
дори,49
пари,49
път,49
иван,49
причината,49
доживотен,49
света,49
наказание,49
стана,49
враца,49
опит,48
сигнали,48
квартал,48
бащата,48
тормоз,48
следи,47
бургас,47
присъдата,47
началото,47
окръжна,47
обвинен,47
образувано,47
експертиза,47
автор,46
сестра,46
инцидента,46
тук,46
свидетели,46
убита,46
лишаване,45
получи,45
присъда,45
сутринта,45
закона,45
приятел,44
става,44
доказателства,44
думите,44
годишното,44
мъжа,44
множество,44
върху,44
нищо,43
починала,43
всичко,43
всеки,43
стража,43
живее,43
възрастната,43
мария,43
случилото,42
мъртва,42
освен,42
всяка,42
близо,42
двама,41
пъти,41
извършителят,41
минути,41
окръжната,41
поиска,41
страната,41
лекарите,40
остава,40
открито,40
медицинска,40
мен,40
добре,40
подкрепа,40
задържани,40
остави,40
лечение,40
очаква,40
направил,40
работят,40
училище,39
човек,39
град,39
разказва,39
центъра,39
сме,39
имат,38
ние,38
затова,38
убитата,38
уби,38
обвиняемият,38
селото,38
арест,38
къща,38
открита,38
час,38
веднага,38
намерено,38
закрила,38
спешна,38
сама,38
екип,37
мерки,37
оглед,37
сутрин,37
случаите,37
областта,37
момичета,37
разказа,37
мъже,37
благоевград,37
неотклонение,37
директор,36
случаи,36
съпруга,36
телефон,36
криминално,36
причина,36
първо,36
издирване,36
връзка,36
проверка,36
перник,36
обясни,36
община,36
автомобил,36
столичния,35
фондация,35
репортер,35
настояват,35
страна,35
различни,35
служители,35
сред,35
акт,35
промени,34
нито,34
велико,34
търново,34
сигналът,34
право,34
вкъщи,34
вечерта,34
министър,34
такива,34
побой,34
главата,34
март,33
точно,33
коментира,33
съпругът,33
лица,33
района,33
възрастна,33
сина,33
пирогов,33
къде,33
кодекс,33
януари,32
искат,32
лекар,32
подаден,32
самопризнания,32
установено,32
съдебно,32
денят,32
състоянието,32
друго,32
нощ,32
намерена,32
извършителя,32
блок,32
искане,32
седмица,32
виновен,32
престъпления,32
извърши,32
полицаи,31
семейни,31
надежда,31
тежкото,31
съобщи,31
сливен,31
нощта,31
заповед,31
никой,31
почина,30
особено,30
полиция,30
дирекция,30
социалните,30
живеела,30
мястото,30
проблем,30
обвинения,30
починалата,30
вероятно,30
начала,30
търсят,30
окръжният,30
пострадалите,30
рани,29
ловеч,29
спрямо,29
лицето,29
момент,29
николова,29
млада,29
мъжете,29
настанена,29
разследване,29
скандал,29
голяма,29
живот,29
работата,29
говори,29
алкохол,28
грижи,28
себе,28
адвокат,28
чрез,28
предвижда,28
апелативен,28
решението,28
кой,28
инцидентът,28
пак,28
бабата,28
станал,27
градски,27
месец,27
проблеми,27
просто,27
трудно,27
оръжие,27
замяна,27
протест,27
извършителите,27
станало,27
съседи,27
друг,27
подробности,27
наказателния,27
рано,27
обвиняем,27
родители,27
жилището,27
души,27
удари,27
син,27
двора,27
февруари,26
въпрос,26
знае,26
автомобила,26
когото,26
укрие,26
резултат,26
приятели,26
пострадали,26
бързо,26
казаха,26
дума,26
стара,26
колата,26
телефона,26
открити,26
брат,26
имала,26
знам,26
случи,25
поради,25
самоубийство,25
заведение,25
решение,25
семейство,25
ноември,25
толкова,25
аутопсията,25
петров,25
защо,25
димитър,25
организации,25
врата,25
тежки,25
твърди,25
първи,25
екипи,25
привлечен,24
води,24
полицейски,24
иска,24
жестокото,24
дом,24
анимус,24
психически,24
наранявания,24
лице,24
институциите,24
павел,24
началник,24
дарина,24
достатъчно,24
институции,24
загора,23
неделя,23
приета,23
bnt,23
остане,23
момиченце,23
постоянно,23
направи,23
мога,23
жилище,23
ревност,23
версии,23
спешното,23
прави,23
повдигнато,23
цветанов,23
случило,23
нанесъл,23
извършил,22
съдебната,22
мярката,22
димитров,22
алена,22
приятелка,22
щерк,22
полицай,22
рамките,22
продължават,22
съвет,22
експертизи,22
имали,22
сдвр,22
после,22
тяло,22
случва,22
едва,22
видеото,22
свързани,22
казват,22
живеят,22
извършени,22
управление,22
вината,22
трагедията,22
извършител,22
апартамента,22
държавата,22
обвиняемия,22
подала,21
места,21
инцидент,21
цялото,21
отношение,21
стане,21
христина,21
страх,21
заявиха,21
чужбина,21
полицаите,21
условията,21
районната,21
даде,21
зад,21
края,21
своя,21
кмет,21
добро,21
някой,21
дела,21
физическо,21
съобщават,21
именно,21
ръководството,21
заседание,21
законът,21
документи,21
май,21
сигнала,20
такава,20
открит,20
жестоко,20
спига,20
декември,20
цялата,20
случаят,20
георгиева,20
домашен,20
вижда,20
