,0
жена,242
насилие,124
момиче,90
мъж,79
домашно,70
убийството,64
жени,57
във,51
ареста,49
софия,48
майка,46
след,45
убийство,44
годишна,43
срещу,41
годишно,40
над,38
възрастна,38
майката,33
уби,32
домашното,32
жената,31
село,30
пловдив,30
съпругата,28
мъжа,28
заради,28
затвор,26
убил,25
години,24
откриха,24
пред,24
годишен,24
задържан,24
дъщеря,24
нож,24
задържаха,23
бнт,23
насилието,22
смъртта,22
варна,22
приятелката,20
който,20
жертви,19
млада,19
оставиха,18
остава,18
годишното,17
обвинен,17
жертвите,16
при,16
момичета,16
която,16
дома,16
съдът,15
помощ,15
убита,15
баба,15
пребил,15
момиченце,15
жените,14
беше,14
смърт,14
убитата,14
преби,14
защита,13
протест,13
бившата,13
почина,13
болница,13
край,13
благоевград,12
годишната,12
две,12
мъжът,12
жестоко,12
баща,12
перник,12
обвинение,11
издирват,11
нападна,11
мъртва,10
тялото,10
велико,10
под,10
търново,10
подкрепа,10
враца,10
съпруга,10
русе,10
остави,10
загора,10
стара,10
ученичка,10
има,9
разследват,9
повдигнаха,9
сливен,9
обвинена,9
случаите,9
случая,9
полицията,9
още,9
момче,9
мярката,9
промени,9
самоуби,9
съд,9
няма,9
прокуратурата,9
говори,8
младеж,8
тежко,8
студентката,8
ловеч,8
студентка,8
бургас,8
случай,8
лева,8
била,8
побой,8
състоянието,8
все,8
българия,8
мвр,8
присъда,8
намериха,7
починала,7
момчилград,7
пловдивско,7
център,7
заподозрян,7
най,7
приятелка,7
бабата,7
ден,7
делото,7
арест,7
изнасилване,7
шествие,7
закона,7
киселина,7
младежа,7
първо,6
болницата,6
една,6
евгения,6
доживотен,6
увеличават,6
прие,6
живота,6
пострадали,6
сестра,6
убитото,6
внучката,6
агресия,6
жертва,6
опит,6
нас,6
мъртво,6
пътя,6
между,6
които,6
обвинения,5
намушка,5
младата,5
бременна,5
вече,5
центрове,5
тяло,5
година,5
простреля,5
пострадалото,5
сина,5
получи,5
ревност,5
остригал,5
всяка,5
специално,5
свищов,5
момичето,5
мъже,5
без,5
убиеца,5
пазарджик,5
син,5
като,5
простреляната,5
нов,5
двама,5
гледат,5
убития,5
донева,5
виолета,5
застреля,5
актрисата,5
задържана,5
нападение,4
обвиненият,4
убила,4
март,4
тервел,4
стража,4
постоянен,4
искат,4
непълнолетно,4
със,4
вероника,4
опасност,4
пребиха,4
разград,4
историята,4
открита,4
шумен,4
справедливост,4
кюстендил,4
хора,4
парк,4
полицай,4
издирване,4
осъдиха,4
как,4
бяла,4
борбата,4
мъртви,4
убие,4
към,4
отново,4
конаре,4
александров,4
викторио,4
трагедия,4
лекари,4
русенско,4
сащ,4
министър,4
починалата,4
начин,4
задържани,4
младост,4
жесток,4
пирогов,4
неизвестност,4
правата,4
извършителя,4
доживотна,4
центъра,4
бяха,4
цалапица,4
опитал,3
добрич,3
семерджиев,3
скандал,3
убиец,3
дъщеричката,3
трафик,3
георги,3
жестокото,3
живее,3
сигнала,3
сандански,3
арестуваха,3
четене,3
непълнолетни,3
близки,3
полицаи,3
хюриет,3
нападението,3
открити,3
радомир,3
обновена,3
гледа,3
нова,3
убиецът,3
спешното,3
млад,3
причините,3
нови,3
стрелял,3
куфар,3
състояние,3
родопите,3
бащата,3
началото,3
снимки,3
проверка,3
дело,3
хотел,3
започна,3
приемна,3
пъти,3
митко,3
спасиха,3
годината,3
сигнал,3
проведе,3
заловиха,3
наказателния,3
отива,3
горна,3
съда,3
българка,3
щерк,3
внучето,3
кодекс,3
причината,3
проект,3
нарязаната,3
габрово,3
причина,3
задържания,3
младо,3
отложиха,3
задържане,3
намерена,3
присъдата,3
през,3
промените,3
всички,3
приеха,3
димитър,3
метрото,3
пещера,3
тонка,3
може,3
бившият,3
хората,3
съпруг,3
ценово,3
бруталното,3
отказа,3
изнасилил,3
столицата,3
годишният,3
изчезнала,3
три,3
макетно,3
разкриха,3
кризисен,3
дни,3
отвличане,3
спасители,3
владимирова,3
белоградчик,3
пребита,3
стабилно,3
каква,3
сигнали,3
убиха,3
карантина,3
прокурор,3
разследва,3
гдбоп,3
втори,3
ученички,3
николов,3
твърди,3
кристиан,3
труп,3
само,3
откри,3
възрастната,3
павел,3
ножче,3
месеца,3
пострадала,3
залетите,3
мартин,3
салон,3
скала,3
загина,3
фризьорски,3
квартал,3
много,3
нападателите,3
живеел,3
славяново,3
удар,3
което,3
токов,3
застреляха,3
студентки,3
куртово,3
терзиев,3
валентин,3
омуртаг,3
бивш,3
затворник,3
ученичката,3
рани,3
столичния,3
експертиза,3
радостина,2
блокада,2
трафика,2
затвора,2
ямбол,2
бъде,2
стрелба,2
протеста,2
имала,2
лясковец,2
монтана,2
кампания,2
бившия,2
простреляна,2
напрежение,2
два,2
ранените,2
заповед,2
люлин,2
ранил,2
мездра,2
бряг,2
помогнаха,2
слънчев,2
взривовете,2
драма,2
прокуратура,2
образование,2
пирдоп,2
разкри,2
потвърдиха,2
мъжете,2
казанлък,2
заведени,2
дела,2
съсед,2
пребитата,2
разказът,2
търпяла,2
луковит,2
рецидивисти,2
нападателят,2
протести,2
божанов,2
криминално,2
ремонт,2
организираха,2
сърница,2
полицейска,2
ръст,2
телесна,2
статистика,2
самоубие,2
късно,2
починалото,2
блок,2
нападнал,2
терзийско,2
помага,2
сам,2
опита,2
грабеж,2
търсят,2
галиче,2
намерено,2
повече,2
остане,2
следи,2
загиналия,2
излязоха,2
проверява,2
сексуално,2
наръгал,2
запали,2
спешна,2
българска,2
белозем,2
шуменско,2
четвърта,2
трима,2
рецидивист,2
какви,2
спи,2
докато,2
ексклузивно,2
работа,2
германия,2
димитров,2
сливенската,2
утре,2
домашен,2
изнасили,2
трябвало,2
варненската,2
енина,2
това,2
прострелял,2
митева,2
гаранция,2
направо,2
избяга,2
макетен,2
повреда,2
очите,2
лице,2
брат,2
агресията,2
загиналата,2
цветя,2
майор,2
него,2
удари,2
право,2
близо,2
спаси,2
държал,2
коронавирус,2
хюлия,2
студа,2
изнасилиха,2
жестокост,2
пусна,2
жители,2
помете,2
кола,2
едногодишната,2
загубили,2
заплашвал,2
престъпление,2
двете,2
простреляно,2
разпитаха,2
варненско,2
блудство,2
министерство,2
правосъдното,2
живот,2
загубила,2
присъствие,2
ужаса,2
русенското,2
отгледала,2
съм,2
здравкова,2
токчета,2
област,2
мерки,2
група,2
случаи,2
ограби,2
предлага,2
задържаният,2
измамници,2
самотна,2
извършителят,2
самотните,2
ндк,2
прострелян,2
подробности,2
видин,2
оранжево,2
юни,2
изповед,2
очаква,2
работи,2
предвиждат,2
кой,2
ранена,2
заседание,2
алена,2
убито,2
побоя,2
очи,2
превенция,2
свекъра,2
връх,2
нуждае,2
постоянно,2
кома,2
ученик,2
поклонение,2
хоро,2
двамата,2
пребивал,2
орлин,2
трета,2
бил,2
дълбок,2
извор,2
илиян,2
района,2
условна,2
едното,2
малко,2
столично,2
скок,2
училище,2
служител,2
системата,2
причини,2
вкъщи,2
правна,2
слатина,2
симона,2
взрива,2
удушена,2
задържаните,2
сама,2
искаме,2
живеела,2
самопризнания,2
новозагорското,2
психологическа,2
искане,2
трагедията,2
вършец,2
лагера,2
парламентът,2
близнаците,2
барикадира,2
стрелча,2
ботевград,2
гоце,2
делчев,2
улицата,2
продължава,2
разследването,2
учителка,2
момчета,2
предстои,2
бъдат,2
кмет,2
ботунец,2
стреля,2
дъщерята,2
приятелят,2
отделение,2
решава,2
дом,2
обявено,2
истината,2
лекар,2
продаде,2
елена,2
памет,2
трите,2
проговори,2
вкс,2
потвърди,2
свиленград,2
убило,2
особено,2
великотърновско,2
издирваната,2
оряховица,2
отвори,2
човекоядец,2
украйна,2
час,2
бактерия,2
обзор,2
време,2
преди,2
той,2
хиляди,2
главата,2
психолог,2
дебора,2
измамиха,1
механджийска,1
западен,1
върховръх,1
нападения,1
ударена,1
филм,1
цел,1
веселина,1
удушила,1
изчезналото,1
задържа,1
ямболската,1
полиция,1
криминална,1
борисовата,1
педиатрично,1
нотариуси,1
медицинска,1
пак,1
трафикант,1
защитим,1
иванка,1
убийцата,1
уличните,1
долна,1
шокиращо,1
градина,1
крадец,1
напада,1
арестувани,1
комисия,1
смолянско,1
изслушва,1
дала,1
хиподрума,1
отвъд,1
мирослава,1
извиненията,1
премиера,1
кръстовище,1
сирия,1
мечка,1
извършители,1
стипендии,1
юнеско,1
оживено,1
безпричинно,1
ирак,1
сайт,1
часа,1
дръзко,1
учени,1
заложници,1
държа,1
обучават,1
учители,1
пирин,1
нбу,1
обвиняват,1
шеф,1
самозащита,1
шизофреник,1
пострадаха,1
откъртена,1
престъпна,1
разпознават,1
фасадна,1
плоча,1
хранеше,1
котките,1
алколхол,1
косово,1
линейка,1
самоубийство,1
арестуван,1
изнасилвач,1
присъединили,1
плевен,1
екстремистки,1
групи,1
промила,1
легендата,1
потърпевша,1
похитил,1
разследване,1
делата,1
досиета,1
криминални,1
дълги,1
пребитото,1
пребори,1
ръжево,1
биячите,1
високи,1
удавяне,1
момиченцето,1
поръчала,1
съдят,1
заработи,1
малките,1
гърция,1
прегледи,1
