Title,URL,Source,Type,DateTime,Article,Location,Keywords1,Keywords2
"Оставиха в ареста младежа, обвинен в убийството на майка си в Ловеч",https://bntnews.bg/news/ostaviha-v-aresta-mladezha-obvinen-v-ubiystvoto-na-maika-si-v-lovech-1232434news.html,bntnews.bg,TV news,2023-05-05 12:52:00,"Окръжният съд в Ловеч постанови постоянна мярка „задържане под стража“ на 19-годишния ученик в Професионалната гимназия по механоелектротехника Антон Василев. Той бе задържан за убийството на майка си. Тялото на 52-годишната жена бе открито в куфар в мазе на жилищния блок, в който семейството живеело на квартира. По време на днешното заседание стана ясно, че при първите два разпита Василев подробно е обяснил как е извършил престъплението. След като прекарал една нощ със съкилийника си, на третия разпит е отрекъл всичко и е обвинил за убийството на майка си нейния приятел. Според прокуратурата обаче има безспорни доказателства, че той е извършил престъплението. Обвиненият за убийството на майка си в Ловеч скрил тялото ѝ в куфар и я обявил за издирване За подобно тежко умишлено престъпление законът предвижда от 15 до 20 години лишаване от свобода, доживотен затвор или доживотен затвор без замяна. Служебният защитник на обвиняемия Валентина Недялкова заяви, че определението на Ловешкия окръжен съд ще бъде обжалвано в тридневен срок пред Апелативен съд-Велико Търново. Текст и снимка: Дарина Найденова Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube","Антон, Велико Търново, Ловеч",майка,уби
Обвиненият за убийството на майка си в Ловеч скрил тялото ѝ в куфар и я обявил за издирване,https://bntnews.bg/news/obvineniyat-za-ubiystvoto-na-maika-si-v-lovech-skril-tyaloto-ѝ-v-kufar-i-ya-obyavil-za-izdirvane-1232374news.html,bntnews.bg,TV news,2023-05-04 21:58:00,"Прокуратурата поиска постоянен арест за 19-годишен мъж от Ловеч, обвинен в убийството на майка си. Делото срещу него започва утре. Младежът е прикрил деянието, като е скрил тялото на майка си в куфар в мазето на жилищния блок. 52-годишната Тереза е била обявена за издирване, след като синът ѝ сигнализирал на 20 април в полицията, че е в неизвестност от няколко дни. За смъртта на жената станало ясно два месеца по-късно, когато живущите в блока усетили силна неприятна миризма. Пред разследващите Антон казал, че майка му е паднала по стълбите в мазето, след като се скарали помежду си. Очаква се съдебно-медицински експертизи да установят причината за смъртта на жената. Автор: Мирослава Георгиева Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube","Антон, Ловеч",майка,"уби, смърт"
Как помагат кризисните центрове в борбата с домашното насилие,https://bntnews.bg/news/kak-pomagat-krizisnite-centrove-v-borbata-s-domashnoto-nasilie-1232274news.html,bntnews.bg,TV news,2023-05-04 08:53:00,"Предвид зачестилите случаи на фатален край за жени, жертви на домашно насилие се опитваме да разберем как такива институции могат да им помогнат и да предотвратят най-страшното. От началото на годината жените, които са починали, след като са подавали множество сигнали са домашно насилие, са 12. Кризисните центрове работят денонощно. Само в един от тях в София от началото на годината са потърсили помощ 20 жени. Вижте повече във видеото Гледайте още теми от ""Денят започва"" Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube",,домашното насилие,"домашно насилие, насил"
"19-годишен, убил майка си, е задържан в Ловеч",https://bntnews.bg/news/19-godishen-ubil-maika-si-e-zadarzhan-v-lovech-1232192news.html,bntnews.bg,TV news,2023-05-03 15:20:00,"19-годишен младеж е задържан и привлечен в качеството на обвиняем за убийство на своята майка, съобщават от Апелативната прокуратура във Велико Търново. Разследването по образувано досъдебно производство за убийство на 52-годишна жена се извършва от Окръжната прокуратура в Ловеч. По данни на прокуратурата жената живеела на квартира в апартамент в центъра на Ловеч заедно със сина си. На 20 февруари т.г. той обявил в районното управление на МВР, че майка му от 13 февруари е напуснала квартирата и оттогава е в неизвестност. След като през април в блока започнала да се носи неприятна миризма, собственикът на жилището бил повикан от София, отключил мазето си и там било открито тялото на жената. 19-годишният ѝ син е установен като извършител на престъплението и задържан на 1 май първоначално за срок от 24 часа, а след това с постановление на наблюдаващия прокурор - за срок до 72 часа. Предстои да бъде внесено искане за вземане на мярка за неотклонение ""задържане под стража"". Действията по разследването продължават под ръководството на Окръжна прокуратура-овеч. Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube","Велико Търново, Ловеч",майка,уби
Съдът остави в ареста Димитър Димитров от Перник за убийството на съпругата му,https://bntnews.bg/news/sadat-ostavi-v-aresta-dimitar-dimitrov-ot-pernik-za-ubiystvoto-na-saprugata-mu-1231941news.html,bntnews.bg,TV news,2023-05-01 14:51:00,"Съдът остави в ареста Димитър Димитров от Перник, обвинен в убийството на съпругата си Анита. В днешното си заседание съдът прие, че е налице обосновано предположение за виновността на обвиняемия, както и че има опасност той да извърши друго престъпление или да се укрие, ако остане на свобода. Ходът на делото беше даден днес, като пред съда Димитров каза, че не е искал да убива жена си и че съжалява за стореното. Прокуратурата твърди, че е събрала необходимите доказателства, че именно Димитров е извършил престъплението. В началото на съдебното заседание стана ясно, че той е пенсионер по болест и не работи. Санкциониран е за шофиране на автомобил след употреба на алкохол. В семейството често е имало скандали, а домоуправителят на кооперацията, в която е жилището им, разказа пред БНТ, че Димитър Димитров не се е разбирал и със своите съседи. Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube",Перник,съпруга,уби
Адвокат по семейно право: През 2022 г. жертвите на домашно насилие са се увеличили 4 пъти,https://bntnews.bg/news/advokat-po-semeino-pravo-prez-2022-g-zhertvite-na-domashno-nasilie-sa-se-uvelichili-4-pati-1231897news.html,bntnews.bg,TV news,2023-05-01 07:31:00,"Към май месец миналата година жертвите на домашно насилие са били над 1700, от които 409 деца, останалите са жени. Това е четири пъти по-голямо увеличение на жертвите на домашно насилие спрямо жертвите през 2021 г. Това каза в ""Денят започва"" адвокатът по семейно право Райна Аврамова. ""Необходима е сериозна законодателна програма, трябва да се прегледат всички текстове в закона за защита от домашното насилие, има изготвен законопроект. Някои от текстовете са ревизирани, с което не съм съвсем съгласна"". По думите ѝ полемиката около законопроекта възниква, защото някои от текстовете в него вече са изменени, а други тепърва трябва да се променят. ""Трябва например да се погледне обстоятелството, че не е задължително ти да съжителстваш на съпружески начала. Възможно е ти да имаш връзка с това лице, то да посещава твоя дом, ти да посещаваш неговия дом. В случая в Перник жертвата сама се е върнала в семейното жилище. При тях е семейно, защото има брак, има стартирало и бракоразводно дело. Това може да се случи дори между партньори, които са във фактическа връзка, но не съжителстват на съпружески начала"". След новините: Можеше ли един проектозакон да спаси поне 11 жени, ако не беше отхвърлен? За да бъде ефективен законът, както пострадалият, така и извършителят трябва да бъдат задължавани да посещават специализирани програми за психологическа помощ, заяви адв. Аврамова. ""Трябва да се работи и с пострадалото лице, защото понякога жертвите страдат от т.нар. стокхолмски синдром"". Към момента едва около 1% са случаите, в които съдът постановява посещаване на специализирани програми за психологическа помощ, каза Аврамова. На въпрос трябва ли да има ""регистър на насилниците"" тя отговори, че има и други начини те да бъдат проследявани, например чрез бюрата по съдимост и делата срещу такива хора. ""Жертвите се обръщат не само към НПО-та, те се обръщат и към журналисти. Очевидно жертвите или се притесняват да сезират съда и органите на полицията, или смятат, че могат да получат съдействие по друг начин"". Тя обясни, че когато една молба за издаване на ограничителна заповед не е съпроводена с медицински свидетелства, показания или други документи, то съдът трябва да издаде заповед на базата на декларация. ""Има и случаи, когато се подават такива молби, без да има истинска опасност, а да се използват като неблагоприятно обстоятелство в бракоразводното дело. Понякога и на самите съдилища им е трудно да преценят, когато имат само молба за издаване на заповед и само декларация от жертвата"". Вижте разговора във видеото Гледайте повече теми от ""Денят започва"" Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube",Перник,домашно насилие,"домашно насилие, насил, жертва"
Убитата в Перник жена доскоро е имала ограничителна заповед срещу мъжа си,https://bntnews.bg/news/ubitata-v-pernik-zhena-doskoro-e-imala-ogranichitelna-zapoved-sreshtu-mazha-si-1231818news.html,bntnews.bg,TV news,2023-04-30 12:04:00,"Пореден случай на домашно насилие завърши с убийството на жена в Перник. Анита Димитрова е открита мъртва в дома на съпруга си Димитър Димитров. Той е задържан за умишлено убийство. В семейството е имало конфликти, а мъжът е получил ограничителна заповед да не доближава жената на повече от 50 метра. Жената е открита мъртва от баща си и двете си деца - на 14 и 16 години. Сигналът за убийството е подаден от едно от децата, каза на брифинг директорът на ОДМВР-Перник. ""Версиите са няколко - патологична ревност, има такива данни, не се изключва. Спор за пари. Версиите са няколко, една по една ще бъдат изчистени, но в основата стои алкохолът, употребата на алкохол"", допълни старши комисар Павел Млеканов. Как е станало убийството тепърва ще се изяснява, засега е ясно, че по жената не е стреляно, но по тялото ѝ са нанесени множество травми. ""Трупът на жената е намерен в семейното жилище в квартал ""Изток"" в Перник, където в последните два месеца тя е живяла заедно със съпруга си. Установено е, че от началото на годината на съпруга е била издадена ограничителна заповед и на жертвата е предоставена защита, като същият е бил задължен да се въздържа от действия на домашно насилие, както и да не приближава пострадалата и жилището, което обитава на по-малко от 50 метра за срок от 10 месеца. Съответно му е била наложена и глоба"", каза Албена Стоилова - говорител на Окръжна прокуратура - Перник. След като е задържан, мъжът се е възползвал от правото си да не дава обяснения. Пред близките на жертвата обаче заявил, че не го е извършил той. Димитър Димитров е правил няколко опита за самоубийство и Анита се е връщала да живее при него. Срещу Димитров е повдигнато обвинение за умишлено убийство, мярката срещу него ще се гледа утре, 1 май. Ако бъде признат за виновен, той може да получи между 10 и 20 години затвор. Повече вижте в прякото включване Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube",Перник, жена,"домашно насилие, уби, насил, жертва"
"Задържан е мъжът, който нападна и обра жена в Бобов дол",https://bntnews.bg/news/zadarzhan-e-mazhat-koito-napadna-i-obra-zhena-v-bobov-dol-1231762news.html,bntnews.bg,TV news,2023-04-29 16:55:00,"Полицията в Бобов дол е задържала извършителя на грабежа, нападнал 55-годишната служителка в администрацията на затвора в Бобов дол вчера. Той е на 21 години, жител на града, познат на органите на реда. Извършителят е задържан с полицейска заповед за 24 часа. За обира е сезирана Окръжната прокуратура в Кюстендил. Образувано е и досъдебно производство за обир. Пострадалата 55-годишна жена продължава да е под лекарско наблюдение в ""Пирогов"". Тя е с травми и натъртвания в областта на главата и едната ръка. Състоянието й е стабилно. Според източници на БНТ след проведения разпит задържаният е казал, че жертвата на грабежа е избрана случайно и те не се познават. Автор: Али Мисанков Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube","Бобов дол, Кюстендил", жена,жертва
Внучка преби 103-годишната си баба за 150 лв.,https://bntnews.bg/news/vnuchka-prebi-103-godishnata-si-baba-za-150-lv-1231456news.html,bntnews.bg,TV news,2023-04-26 22:44:00,"103-годишна жена от село Дамяница беше пребита от собствената си внучка за 150 лева. Жертвата е Люба Костадинова, най-възрастната жена в Община Сандански. В следобедните часове вчера внучката на баба Люба влязла пияна в дома ѝ. Търсела пари. Съседката чула виковете за помощ на възрастната жена. Извикала полицията и кмета. Внучката доскоро била и личен асистент на баба си. Получавала по 640 лева на месец. Договорът ѝ е прекратен заради системно пиянство и агресия. Баба Люба останала сама, след като преди четири години загубила съпруга си. Оттогава за нея се грижи Роса Николова. От следващия месец тя ще бъде нейн личен асистент. Внучката на баба Люба е задържана за 72 часа. От Прокуратурата ще поискат за нея най-тежката мярка  „задържане под стража"". Вижте и още във видеото. Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube",Сандански,"внучк, баба","уби, преби, жертва"
Пребиха 103-годишна жена за 150 лв. в село край Сандански,https://bntnews.bg/news/prebiha-103-godishna-zhena-za-150-lv-v-selo-krai-sandanski-1231381news.html,bntnews.bg,TV news,2023-04-26 14:01:00,"103-годишна баба е пребита от внучката си в санданското село Дамяница. Инцидентът е станал вчера, когато баба Люба отказала да даде пари на 55-годишната си внучка. След като ѝ нанесла няколко удара по главата, внучката откраднала 150 лева. По-късно е задържана. Образувано е досъдебно производство. Чуйте последните новини, където и да сте!Последвайте ни във Facebook и Instagram Следете и канала на БНТ в YouTube",, жена,преби
