Title,URL,Source,Type,DateTime,Article,Location,Keywords1,Keywords2
"Заловиха мъж, държал жена вързана на верига в Добричко",https://btvnovinite.bg/bulgaria/zaloviha-mazh-darzhal-zhena-varzana-na-veriga-v-dobrichko.html,btvnovinite.bg,TV news,2025-02-21 14:18:00,"32-годишен мъж е задържан от полицията в Добрич по за това, че е държал жена, вързана против волята ѝ в село Царевец. За случая съобщиха в информационния бюлетин на Областната дирекция на МВР в Добрич. Жената е подала сигнала за насилие около 17:00 ч. вчера през номера за спешни повиквания 112. Пристигналите на място екипи намерили 23-годишната жена завързана с верига от мъжа, с когото живее на семейни начела. При последвалите беседи е установено, че потърпевшата е била държана вързана против волята ѝ от 18 февруари тази година. Извършителят на деянието е мъж на 32 г. и е задържан за срок до 24 часа. Материалите по случая са докладвани в прокуратурата. В края на миналата година от полицията в Добрич отчетоха завишаване на случаите на домашно насилие в областта. Последвайте ни за още актуални новини в Google News Showcase Последвайте btvnovinite.bg във VIBER Последвайте btvnovinite.bg в INSTAGRAM Последвайте btvnovinite.bg във FACEBOOK Последвайте btvnovinite.bg в TIKTOK",, жена,"домашно насилие, насил"
"30-годишна жена е пребита от 18-годишен младеж, с който живеели на семейни начала",https://btvnovinite.bg/bulgaria/30-godishna-zhena-e-prebita-ot-18-godishen-mladezh-s-kojto-zhiveeli-na-semejni-nachala.html,btvnovinite.bg,TV news,2025-02-20 13:40:00,"Полицията в Перник задържа 18-годишен младеж за домашно насилие над 30-годишна жена, с която живеели на семейни начала, съобщиха от пресцентъра на Областната дирекция на МВР. Според информацията първоначално е бил подаден сигнал в Районното управление, че перничанката е била пребита от двама непознати за нея мъже. Тя съобщила също, че нападателите са отнели дамската ѝ чанта. Жената била прегледана от медиците в спешното на Многопрофилната болница за активно лечение (МБАЛ) „Рахила Ангелова“. Там е установено, че пациентката е с наранявания в областта на главата. По случая започнали работа криминалисти. Последвали процесуално-следствени действия от служители на сектор - „Противодействие на криминалната престъпност“ и от Районното управление. В хода на работата им станало ясно, че първоначалната информация, подадена от пострадалата, не е вярна, предаде БТА. От полицията поясниха, че на жената и е нанесен побой от 18-годишен младеж, с когото е живеела на семейни начала. Извършителят е задържан за 24 часа, образувано е бързо производство. Разследването продължава под надзора на прокуратурата. Последвайте ни за още актуални новини в Google News Showcase Последвайте btvnovinite.bg във VIBER Последвайте btvnovinite.bg в INSTAGRAM Последвайте btvnovinite.bg във FACEBOOK Последвайте btvnovinite.bg в TIKTOK ",Перник, жена,"домашно насилие, преби, насил"
Георги Георгиев сформира работа група за противодействие на домашното насилие,https://btvnovinite.bg/bulgaria/georgi-georgiev-sformira-rabota-grupa-za-protivodejstvie-na-domashnoto-nasilie.html,btvnovinite.bg,TV news,2025-02-18 13:35:00,"Министърът на правосъдието Георги Георгиев събра над 70 експерти в работна група за противодействие на домашното насилие, съобщиха от Министерството на правосъдието. Групата трябва да изготви да изготви цялостен анализ на българската нормативна уредба за съответствието ѝ с европейската директива за борбата с насилието над жени и домашното насилие и да подготви необходимите нормативни промени. Сред поканените са съдии, следователи, прокурори, представители на академичната общност и неправителствения и правителствения сектори. „Домашното насилие не е просто битов или семеен проблем. Защото виждаме, колко често в случаите, в които никой не се е намесил навреме, има фатален изход. В 21. век, след всички харти и международни конвенции, свързани със защита права на човека, е недопустимо да оставаме безучастни към бруталното насилие и погазване на човешките права“, отбеляза Георгиев. Министърът на правосъдието подчерта, че борбата с домашното насилие е приоритет на правителството.  „Взетите до тук мерки имат резултат – повишаването на броя на издадените заповеди за защита и на сигналите за домашно насилие означава не просто, че проблемът е много сериозен, но и че в институциите и неправителствения сектор се дава по-голяма публичност на тези въпроси“, уточни Георгиев. Той припомни, че сред основните задачи на Националното бюро за правна помощ (НБПП) е до края на годината във всеки областен град да бъдат изградени регионални центрове за консултиране. По предложение на доц. Ива Пушкарова бе взето решение работната група да се раздели на 8 екипа, които да се фокусират върху прецизирането на конкретните мерки от директивата, които да влязат в нормативната ни уредба. Част от необходимите законодателни изменения са свързани с определяне на престъпленията и наказанията в областите на сексуална експлоатация на жени и деца. Последвайте ни за още актуални новини в Google News Showcase Последвайте btvnovinite.bg във VIBER Последвайте btvnovinite.bg в INSTAGRAM Последвайте btvnovinite.bg във FACEBOOK Последвайте btvnovinite.bg в TIKTOK",,домашното насилие,"домашно насилие, насил"
"Бащата, пребил дъщеря си, получи обвинение за домашно насилие",https://btvnovinite.bg/bulgaria/bashtata-prebil-dashterja-si-poluchi-obvinenie-za-domashno-nasilie.html,btvnovinite.bg,TV news,2025-02-14 16:45:00,"На 37-годишния баща от Стара Загора, които преби 14-годишната си дъщеря, е повдигнато обвинение за домашно насилие от Районна прокуратура-Стара Загора. Мъжът е задържан за 72 часа с постановление на наблюдаващия прокурор. Прокуратурата ще поиска мярка за неотклонение „задържане под стража“ спрямо него. От прокуратурата обявиха, че все още се изяснява дали е имало побой и над другата дъщеря в семейството, която е на 9 г. Сигналът за насилието над 14-годишното момиче е подаден на 13 февруари следобед на тел 112. Установено е, че 37-годишният мъж е употребил алкохол и е нанесъл побой над по-голямата си дъщеря. 14-годишното момиче е настанено за наблюдение в болнично заведение. „Ударите са били в окосмента част на главата, става дума в случая за лекостепенна черепно-мозъчна травма. Детето е прието със сътресение на мозъка, в момента то е в добро общо състояние“, каза за bTV доц. д-р Стефан Вълканов, началник на Клиниката по неврохирургия на УМБАЛ ""Проф. д-р Стоян Киркович"". Установява се и местонахождението на майката на децата, която живее отделно. 9-годишното момиче от семейството е настанено в защитено жилище. За случая е уведомен отдел „Закрила на детето“ в Стара Загора. Последвайте ни за още актуални новини в Google News Showcase Последвайте btvnovinite.bg във VIBER Последвайте btvnovinite.bg в INSTAGRAM Последвайте btvnovinite.bg във FACEBOOK Последвайте btvnovinite.bg в TIKTOK",Стара Загора," дъщер, домашно насилие","домашно насилие, преби, насил"
"Баща преби двете си дъщери в Стара Загора, едното момиче е в болница",https://btvnovinite.bg/bulgaria/bashta-prebi-dvete-si-dashteri-v-stara-zagora-ednata-e-v-bolnica.html,btvnovinite.bg,TV news,2025-02-14 09:58:00,"37-годишен баща е пребил двете си дъщери, едната е под наблюдение в болница, съобщиха от ОДМВР-Стара Загора. На 13 февруари в 16:47ч. в полицията е постъпил сигнал за скандал в апартамент в Стара Загора. На място е изпратен полицейски екип. Установени са 37-годишен мъж и двете му дъщери на 14 и 9 години. Установено е още, че мъжът нанесъл удари и на двете, вследствие на което момичетата са получили телесни увреждания. 14-годишното момиче е настанено за наблюдение в болнично заведение. ""Ударите са били в окосмента част на главата, става дума в случая за лекостепенна черепно-мозъчна травма. Детето е прието със сътресение на мозъка, в момента то е в добро общо състояние"", каза за bTV доц. д-р Стефан Вълканов, началник на Клиниката по неврохирургия на УМБАЛ ""Проф. д-р Стоян Киркович"". 37-годишният мъж е задържан за срок до 24 часа. Образувано е досъдебно производство. Последвайте ни за още актуални новини в Google News Showcase Последвайте btvnovinite.bg във VIBER Последвайте btvnovinite.bg в INSTAGRAM Последвайте btvnovinite.bg във FACEBOOK Последвайте btvnovinite.bg в TIKTOK ",Стара Загора," дъщер, момиче",преби
Ново предизвикателство в TikTok: Лекари спасиха живота на 13-годишно момиче в Пазарджик,https://btvnovinite.bg/bulgaria/novo-predizvikatelstvo-v-tiktok-lekari-spasiha-zhivota-na-13-godishno-momiche-v-pazardzhik.html,btvnovinite.bg,TV news,2025-02-12 10:40:00,"Лекари от Второ педиатрично отделение на МБАЛ-Пазарджик спасиха живота на 13-годишно момиче, интосикирано след като изпило неизвестно количество таблетки с парацетамол. Детето е прието в Спешно отделение в незадоволително общо състояние, направена му е стомашна промивка и са назначени изследвания, съобщиха от лечебното заведение. Момичето е изписано в добро здравословно състояние. Проведена е и консултация с психолог, за да се установят причините за инцидента и да се окаже необходимата подкрепа. Има подозрение, че детето е изпило противовъзпалителните хапчета във връзка с новото предизвикателство в социалната мрежа TikTok. Проверява се и хипотезата за опит за самоубийство чрез новата опасна мода. Новото предизвикателство, което набира популярност в различни държави, е свързано с прекомерен прием на парацетамол. Специалистите предупреждават, че неконтролираният прием на този медикамент може да доведе до тежки увреждания на черния дроб, бъбреците и централната нервна система, а при високи дози – дори до фатален изход. Общо 6 деца на възраст от 4 месеца до 16 г. са лекувани от началото на годината във Второ педиатрично отделение след различни отравяния с медикаменти, енергийни напитки, алкохол, вейп и прах за пране, обявиха от МБАЛ-Пазарджик. Последвайте ни за още актуални новини в Google News Showcase Последвайте btvnovinite.bg във VIBER Последвайте btvnovinite.bg в INSTAGRAM Последвайте btvnovinite.bg във FACEBOOK Последвайте btvnovinite.bg в TIKTOK",Пазарджик,момиче,уби
Задържаха Юмер Еврото заради сводничество и побой над 15-годишно момиче,https://btvnovinite.bg/bulgaria/zadarzhaha-jumer-evroto-zaradi-svodnichestvo-i-poboj-nad-15-godishno-momiche.html,btvnovinite.bg,TV news,2025-02-07 16:57:00,"Задържаха Юмер Еврото заради сводничество и побой над 15-годишно момиче от социален дом. Мъжът е от горнооряховското село Върбица. 31-годишният мъж е задържан за сводничество, склоняване към проституция и брутален побой над непълнолетното дете от център за настаняване от семеен тип. 15-годишното момиче, което живяло в ЦНСТ в град, близо до Велико Търново, е било принуждавано да проституира, а след отказ е било жестоко пребито с дървени прътове. След установяване на нанесеното насилие, детето е преместено в кризисен център, а извършителят е задържан за 72 часа. От районна прокуратура във Велико Търново съобщиха, че Ю.М. е привлечен в качеството на обвиняем по  досъдебно производство за склоняване към проституция и трафик на непълнолетно момиче, чрез употреба на сила и заплашване, като престъпленията са извършени за времето от декември 2024 г. до 25 януари 2025 г. в две населени места на територията на област Велико Търново. Преценено е, че от събраните до момента доказателства може да се направи обосновано предположение за авторството на деянията на обвиняемия, като е налице опасност той да се укрие и да извърши престъпления, поради което Районна прокуратура – Велико Търново, ТО – Горна Оряховица е внесла в Районен съд-Горна Оряховица искане за вземане на мярка за неотклонение „Задържане под стража“ по отношение на обвиняемия. На 7 февруари с определение на съда  спрямо Ю.М. е взета мярка за неотклонение „Задържане под стража“. Разследването продължава под ръководството на Районна прокуратура-Велико Търново, ТО – Горна Оряховица. Последвайте ни за още актуални новини в Google News Showcase Последвайте btvnovinite.bg във VIBER Последвайте btvnovinite.bg в INSTAGRAM Последвайте btvnovinite.bg във FACEBOOK Последвайте btvnovinite.bg в TIKTOK","Велико Търново, Върбица, Горна Оряховица",момиче,"преби, насил"
"Момичето, намушкало минувачи в София: Направих го с ясно съзнание, имах готовност да ги убия",https://btvnovinite.bg/bulgaria/momicheto-naragalo-minuvachi-v-sofija-napravih-go-s-jasno-saznanie-imah-gotovnost-da-gi-ubija.html,btvnovinite.bg,TV news,2025-02-06 16:08:00,"Софийският градски съд определи Надежда Кондева, която нападна няколко човека с нож в центъра на столицата, да бъде изпратена в психиатричната клиника към затвора в Ловеч. Там трябва да бъдат направени прецизни изследвания на психичното ѝ състояние, тъй като има данни, че страда от параноидна шизофрения. В срок от 30 дни трябва да стане ясно дали младата жена ще носи съдебна отговорност за нападението с нож на бул. „Витоша“. „С ясно съзнание наръгах хората, имах готовност да ги убия. Умишлено извърших нападението. Ако бъда пусната на свобода, това ще се повтори. Искам доживотна присъда в затвор“, заяви Надежда Кондева в съдебната зала, предаде националната телевизия. Младата жена намушка няколко човека с нож на столичния булевард „Витоша“. Според първоначалните прегледи Кондева е в тежко психотично състояние, дезориентирана е и има склонност към агресия, също така е спряла да пие лекарствата си. Последвайте ни за още актуални новини в Google News Showcase Последвайте btvnovinite.bg във VIBER Последвайте btvnovinite.bg в INSTAGRAM Последвайте btvnovinite.bg във FACEBOOK Последвайте btvnovinite.bg в TIKTOK ",Ловеч,момиче,"уби, мушк"
"Обвинение след нападението с нож: Ще оставят ли жената в ареста, или ще отиде в психиатрия?",https://btvnovinite.bg/bulgaria/obvinenie-sled-napadenieto-s-nozh-shte-ostavjat-li-zhenata-v-aresta-ili-shte-otide-v-psihiatrija.html,btvnovinite.bg,TV news,2025-02-05 20:17:00,"Повдигнаха обвинение на жената, задържана за нападението над трима души в центъра на София. 22-годишната жена, който вчера намушка с нож трима мъже в радиус от няколко метра, е получила обвинение за опит за убийство. Тя е задържана за до 72 часа, а утре ще се извърши преценка дали ще се иска постоянното и задържане в ареста или ще бъде настанена  в психиатрично заведение до 30 дни за изследване. Състоянието на 21-гошишния мъж, който пострада най-тежко, се подобрява, казаха от ВМА, където е настанен. След случилото се хората от квартала настояват за засилен полицейски контрол, както и за промяна в правилата за грижа за психичноболните. Нападението с нож не е единственият случай на агресия от страна на човек с психично заболяване, разказват хората от квартал „Иван Вазов“. У нас има 12 психиатрични болници и също толкова центрове за психично здраве. Местата, на които пациентите обаче могат да получат помощ извън лечебно заведение, са единици и там се ходи доброволно, обясняват специалисти. „Чака се да стане инцидент и едва тогава държава тръгва да взима мерки. Държавата е абдикирала от много години. Държавната администрация се е специализирала в кампанийни дейности и в писане на стратегии, които се преписват вече 20 години, но всъщност нищо от заложените там идеи, които не са лоши, не се е случило досега“, обяснява д-р Иван Добринов, началник на 6-о мъжко отделение в ДПБ-Раднево. Липсата на система за обхват и лечение обикновено води до спиране на медикаментите при такива пациенти. „Тази жена е заплашвала минимум 10 дни нейните близки, защото самото заболяване върви така. Тръгва се от агресия към семейния кръг, близки, познати, съседи и се стига до обществено опасно действие“, каза психиатърът д-р Веселин Герев. https://btvnovinite.bg/bulgaria/ekip-na-btv-proveri-kapaciteta-na-psihiatrichnite-kliniki-v-sofija-mestata-sa-zapalneni.html Според действащата уредба семейството на болния не носи отговорност за действията му. На мъжа, който пострада най-тежко при инцидента, е извършена коремна операция. Последвайте ни за още актуални новини в Google News Showcase Последвайте btvnovinite.bg във VIBER Последвайте btvnovinite.bg в INSTAGRAM Последвайте btvnovinite.bg във FACEBOOK",Раднево, жена,"уби, мушк"
"Нападението с нож: Според бабата на жената тя не е била агресивна, брат ѝ подава сигнал",https://btvnovinite.bg/bulgaria/napadenieto-s-nozh-spored-babata-na-zhenata-tja-ne-e-bila-agresivna-brat-podava-signal.html,btvnovinite.bg,TV news,2025-02-04 17:16:00,"Жената, нападнала с нож трима души в центъра на София, е с психически проблеми. Двама от пострадалите са в болница. Малко след 8 ч. сутринта 22-годишната жена буйства в дома си. Брат ѝ подава сигнал на телефон 112.  „Той е заключил вратата на жилището, като тя е останала навън с нож в ръка“, каза гл. комисар Любомир Николов-директор на СДВР. Когато полицаи от СДВР пристигат, жената вече я няма. Минути по-късно, на метри от дома си - на бул. „Витоша“, напада първо 21-годишен мъж. Следва второ нападение. Ранени са още двама мъже - на 48 и 51 години. Единият е в тежко състояние със сериозна прободна рана в областта на корема, което е наложило хоспитализация. 48-годишният мъж е с порезна рана на гърба и вече е освободен от болница ""Пирогов"". Контактен и адекватен е, без непосредствена опасност за живота към момента, съобщиха от лечебното заведение.  „Двама граждани спокойни си вървяха един зад друг – мъж и жена зад него. Тя вади нож и го наръгва в гръб. Една гражданка, разминавайки се, започва да я налага с чантата по главата. Полицията най-вероятно я е преследвала. И я свалят с електрошок, защото тя не хвърляше ножа“, разказа Христина Костадинова, която става свидетел. „Те са преустановили и друго такова пробождане, защото тя се  е насочила и към жена, която е минавала в района“, каза още главен комисар Любомир Николов. „Има информация, че жената е нападнала и други хора, които по някаква причина са се отървали от наранявания“, добави зам.-градският прокурор на София Иво Илиев. По наша информация жената е била диагностицирана през 2020 година. Психиатри ще установят дали днес е разбирала какво извършва.  „Защото ако не, то такъв е законът, че не може да носи наказателна отговорност. А ще бъдат наложени съответните медицински мерки“, обясни зам.-градският прокурор на София Иво Илиев. По наша информация близките на 22-годишната жена, са разказали пред разследващите, че от около 5 месеца тя не приема лекарствата си редовно. Пред bTV бабата на задържаната каза, че досега не е била агресивна към тях, нито към съседи.  „Нищо не се знае. Брат ѝ е спал и тя просто е изскочила и то е без яке без нищо“, каза бабата на нападателката.  По случая вече е образувано досъдебно производство за опит за убийство. Последвайте ни за още актуални новини в Google News Showcase Google News Showcase Последвайте btvnovinite.bg във VIBER Последвайте btvnovinite.bg в INSTAGRAM Последвайте btvnovinite.bg във FACEBOOK",," жена, баба",уби
