,0
това,1340
след,1159
като,1150
той,959
има,795
жена,777
които,721
насилие,702
който,698
години,635
беше,599
при,599
жената,585
няма,583
още,551
която,548
полицията,544
към,521
пред,521
във,502
което,500
през,484
каза,468
според,461
много,454
btv,448
бъде,435
може,415
преди,406
майка,392
година,390
със,387
мъж,380
детето,376
тази,371
бил,359
срещу,353
майката,349
най,345
била,345
него,334
часа,332
случая,323
нея,323
или,319
домашно,319
защото,318
когато,317
трябва,316
прокуратурата,312
годишната,310
жени,310
само,309
момиче,306
дома,303
един,298
обаче,297
около,294
съм,289
този,286
всички,285
момичето,280
ако,279
казва,277
под,277
една,273
над,271
време,267
днес,266
две,266
така,263
били,263
мъжът,260
вече,260
убийството,258
ден,257
мвр,256
без,255
дъщеря,254
убийство,253
тях,247
заради,246
както,245
българия,244
задържан,236
годишна,233
заяви,233
софия,231
село,229
повече,225
живота,224
няколко,222
какво,222
помощ,221
деца,219
съд,219
прокуратура,218
хора,217
момента,216
децата,213
годишен,208
сигнал,208
семейството,207
дни,207
болница,205
как,205
между,204
било,203
тялото,199
жените,199
жертвата,194
данни,193
бяха,191
все,183
вчера,182
двамата,182
място,182
думите,181
последвайте,179
обясни,179
баща,178
дали,178
нас,178
дете,177
също,176
където,176
нещо,175
три,171
престъпление,171
съобщиха,170
късно,166
хората,164
става,162
разказа,161
малко,160
двете,160
съда,160
път,159
производство,158
коментира,156
информация,155
там,154
бащата,153
начин,152
годишният,151
престъплението,151
бъдат,150
месеца,150
разказва,150
едно,150
тези,145
съпругата,144
човек,144
два,144
прокурор,142
работи,141
състояние,141
btvnovinite,140
лева,140
извършено,140
смъртта,139
ясно,136
ареста,136
всеки,136
затвор,135
мен,134
пари,133
случай,133
нито,132
защита,131
делото,130
пострадалата,130
всичко,129
баба,129
обвинение,129
тогава,128
имало,128
полиция,127
сега,126
тъй,126
мярка,126
досъдебно,125
главата,124
опасност,124
георги,122
побой,122
съобщи,121
инцидента,121
бургас,120
училище,120
докато,120
насилието,120
работа,119
дори,119
болницата,119
част,118
продължава,118
срок,118
съдът,118
живее,117
годишно,117
града,115
домашното,115
пловдив,114
край,113
близките,113
твърди,112
тежко,112
разследването,111
стана,111
въпреки,111
родителите,111
ние,110
често,110
момичета,110
годишния,109
задържане,108
жертва,108
нищо,107
мъже,107
защо,106
други,106
къщата,105
мария,104
месец,103
пъти,103
сред,102
мъжа,102
стража,101
повреда,100
заедно,100
сутрин,100
души,100
селото,98
съпруга,98
социалните,98
сме,98
телесна,97
образувано,97
жертвите,96
сина,96
свобода,96
друго,95
могат,95
веднага,94
нож,94
перник,93
никой,93
министър,93
варна,93
началото,93
отново,93
страна,93
миналата,92
квартал,92
удари,92
неотклонение,91
живот,91
тук,91
връзка,91
такива,91
имат,90
близо,90
района,89
мога,89
затова,89
иска,88
края,87
добре,87
действия,87
колата,86
върху,85
момче,85
лицето,84
телефон,84
закона,84
годишното,83
стара,83
никога,83
загора,83
център,83
задържани,83
просто,82
предстои,82
случаи,82
спрямо,82
остава,81
открито,81
допълни,80
инцидентът,80
първо,80
центъра,79
обвиняемият,79
говори,78
подаден,78
множество,78
кой,78
направи,77
момент,77
училището,77
група,77
мястото,76
друг,76
парите,76
оръжие,76
някой,76
лице,76
управление,75
прави,75
двама,75
иван,75
съпругът,75
рано,75
вероятно,75
всяка,75
въпрос,75
син,74
синът,74
случилото,74
присъда,74
семейство,74
започва,73
знам,73
освен,73
проверка,73
близки,73
следи,72
чрез,72
криминално,72
пирогов,72
възраст,72
снощи,72
жилището,72
надежда,71
наказание,71
умишлено,71
автомобил,71
съседи,71
доказателства,71
страната,70
лица,70
момчето,70
станал,70
когото,70
