,0
жена,241
момиче,116
майка,96
мъж,86
жени,80
насилие,73
след,65
годишно,61
убийството,54
дъщеря,52
майката,47
съпругата,44
софия,44
годишна,43
във,42
възрастна,41
домашно,41
ареста,38
над,37
пред,32
убийство,30
години,29
баба,28
затвор,27
две,25
btv,24
момичета,24
домашното,24
срещу,24
задържаха,24
млада,23
край,22
мъжа,22
приятелката,21
заради,21
убил,20
при,20
годишен,19
смърт,19
съпруга,19
преби,19
остава,19
със,19
откриха,19
жената,18
жените,18
уби,18
варна,18
смъртта,17
момичето,17
живота,16
задържан,16
побой,16
пребил,16
почина,15
дома,15
баща,15
ученичка,15
пловдив,15
българия,15
убитата,15
болница,14
няма,14
село,14
русе,14
насилието,13
видео,13
сина,13
перник,13
бургас,12
момиченце,12
годишната,12
издирват,12
той,12
училище,12
прокуратурата,11
дом,11
има,11
убита,11
бащата,11
беше,11
полицията,11
син,10
приятелка,10
мъже,10
благоевград,10
тялото,10
жертва,10
остави,10
като,10
дъщерята,10
удари,10
който,10
съдът,10
мвр,9
била,9
ден,9
годишното,9
своя,9
нож,9
тяло,9
нов,9
възрастни,9
младеж,9
скандал,9
защита,9
през,8
година,8
арест,8
нас,8
загора,8
сливен,8
самоуби,8
между,8
двама,8
помощ,8
което,8
бой,8
една,8
преди,8
студентка,8
трафик,8
повече,8
мъжете,8
трима,8
стара,8
съученичка,7
полицай,7
лясковец,7
която,7
убила,7
шествие,7
само,7
убиха,7
остават,7
бабата,7
обвинение,7
лева,7
загина,7
тежко,7
труп,7
момче,7
случая,7
намериха,7
герб,7
слънчев,7
бряг,7
шумен,7
под,6
малко,6
протест,6
подкрепа,6
пребита,6
столичния,6
внучката,6
велико,6
все,6
център,6
арестуваха,6
младо,6
наби,6
жестоко,6
търново,6
жесток,6
киселина,6
простреля,6
ученички,6
центъра,6
разследват,6
приятеля,6
градина,6
двете,6
ловеч,6
изнасилване,6
цветан,6
продължава,6
още,6
обвинения,6
обновена,6
мъжът,6
пътя,6
снимки,6
криминално,6
обзор,6
убития,6
всяка,5
русенско,5
годишния,5
опасност,5
опита,5
нападение,5
намерена,5
спор,5
път,5
без,5
свобода,5
пребили,5
учителка,5
нападна,5
група,5
починала,5
нападнаха,5
един,5
враца,5
река,5
токчета,5
престъпление,5
рецидивист,5
после,5
промени,5
обвинен,5
пребиха,5
справедливост,5
христо,5
живее,5
мария,5
най,5
оставиха,5
изчезналата,5
живот,5
съд,5
стотици,5
търси,5
три,5
десетки,5
спасиха,5
бият,5
месеца,4
трябва,4
рани,4
димитровград,4
галиче,4
решава,4
към,4
бременна,4
битка,4
видин,4
откри,4
жертви,4
посягал,4
мездра,4
получи,4
бяла,4
млад,4
костенец,4
къщата,4
дора,4
доживотен,4
никой,4
души,4
протеста,4
стрелял,4
бъде,4
арестувани,4
връзка,4
издирваното,4
блудство,4
жертвите,4
детето,4
хил,4
василев,4
обвиниха,4
дядо,4
дни,4
намерено,4
иска,4
мъртво,4
състоянието,4
апартамент,4
заведение,4
защото,4
пострадали,4
пенсията,4
изчезна,4
задържаният,4
социален,4
българска,4
сигнал,4
разбиха,4
починалата,4
наказание,4
нощ,4
обвиняемият,4
как,4
самотна,4
издирвана,4
съда,4
агресия,4
това,4
състояние,4
казанлък,4
съм,4
обвиненият,4
час,4
момчето,4
пистолет,4
мъртва,4
момичетата,4
кризисен,4
семерджиев,4
заплашвал,4
друга,4
търсят,4
искат,4
открита,3
зверското,3
църква,3
изгоря,3
даде,3
поиска,3
кирил,3
братя,3
затвора,3
кома,3
какво,3
жилище,3
тормоз,3
осем,3
близките,3
борисов,3
станишев,3
или,3
проблема,3
хора,3
пуснаха,3
монтанско,3
убиец,3
пеевски,3
обвинени,3
отрича,3
време,3
горна,3
оряховица,3
нападал,3
запали,3
осъдиха,3
петров,3
искам,3
дърво,3
историята,3
задържани,3
грабеж,3
сред,3
прати,3
трагедия,3
обяви,3
бившата,3
сама,3
адвокат,3
условно,3
много,3
проявен,3
против,3
лекари,3
цар,3
момчета,3
отвлечено,3
четвърта,3
прострелял,3
правата,3
семейство,3
половина,3
сдвр,3
начин,3
сотиря,3
пазарджик,3
бременната,3
пострада,3
сигнали,3
съпругът,3
закона,3
затворник,3
бивш,3
нападателите,3
разследва,3
добрич,3
стадото,3
пневмония,3
ранени,3
полицаи,3
съди,3
жертвата,3
били,3
първо,3
айтос,3
стана,3
росен,3
трафика,3
бившият,3
осъдени,3
плевен,3
емил,3
харманли,3
очите,3
вероника,3
арестуван,3
издирването,3
него,3
социалните,3
търговище,3
грешка,3
делото,3
малката,3
призна,3
шуменско,3
намушка,3
заподозрян,3
стрелеца,3
новогодишната,3
хасково,3
пещера,3
семеен,3
взрив,3
простреляната,3
газова,3
бутилка,3
престъпна,3
смъртоносно,3
мерки,3
човек,3
студентката,3
задържа,3
обвинена,3
страната,3
кърджали,3
стане,3
детска,3
открит,3
случаите,3
разследване,3
сопот,3
донева,3
ограби,3
повдигнаха,3
нападнал,3
малолетно,3
говори,3
изплува,3
защо,3
ямбол,3
изчезналото,3
крие,3
врачанско,3
александър,3
грижи,3
виолета,3
докато,3
банишора,3
бременни,3
ревност,3
мигранти,3
открито,3
дете,3
шест,3
протести,3
убило,3
бургаско,3
държал,3
чака,2
случайно,2
бригада,2
стрелецът,2
ранил,2
гърция,2
отговаря,2
ани,2
сияна,2
загинал,2
внукът,2
неизвестност,2
минало,2
бивша,2
младежът,2
никол,2
арсенал,2
мизерия,2
кръстовището,2
мотивът,2
било,2
съдбата,2
ангелов,2
проф,2
изчезнала,2
кюстендил,2
загинаха,2
удар,2
половин,2
диана,2
галерия,2
наръга,2
неизвестен,2
ударила,2
невнимание,2
полицая,2
габриел,2
свидетел,2
сексуален,2
купел,2
овча,2
депутат,2
добрев,2
партии,2
люлин,2
присъдата,2
болна,2
убийства,2
метро,2
столичното,2
простреляна,2
момиченцето,2
спаси,2
убитото,2
ковачевци,2
напрежение,2
град,2
студентски,2
пъти,2
коли,2
стреля,2
сидеров,2
многодетна,2
прибрало,2
дамла,2
опитаха,2
нападател,2
годишният,2
опитът,2
причината,2
травма,2
мозъчна,2
черепно,2
причина,2
газов,2
представящ,2
законови,2
разследването,2
предлагат,2
министерство,2
правосъдното,2
разби,2
основата,2
охранители,2
едно,2
българско,2
масов,2
палата,2
съдебната,2
паоло,2
сащ,2
калоян,2
евгения,2
гората,2
близнаците,2
викторио,2
сергей,2
александров,2
малкият,2
синът,2
брак,2
челен,2
роля,2
болницата,2
пример,2
проституция,2
органите,2
приятелки,2
постоянен,2
лице,2
снимката,2
кога,2
казва,2
аспарухово,2
юмруци,2
общината,2
строги,2
наказания,2
басейн,2
студентки,2
карта,2
ограбил,2
стават,2
открадна,2
става,2
предложение,2
съдят,2
имам,2
нея,2
въздушна,2
пушка,2
престъпник,2
петко,2
измамник,2
кола,2
двустранна,2
задържания,2
мирослава,2
избягало,2
герой,2
русия,2
осъден,2
шарков,2
младата,2
издирва,2
бъдат,2
международния,2
връстничка,2
сестрата,2
българка,2
гурково,2
георги,2
джипа,2
заподозрения,2
застреляна,2
предадоха,2
обвиняемия,2
гоце,2
делчев,2
нищо,2
ученик,2
габрово,2
друго,2
съпруг,2
руините,2
антония,2
годишни,2
