Title,URL,Source,Type,DateTime,Article,Location,Keywords1,Keywords2
"Задържаха мъж, ударил с юмрук жена в столична болница",https://btvnovinite.bg/bulgaria/zadarzhaha-mazh-udaril-s-jumruk-zhena-v-stolichna-bolnica.html,btvnovinite.bg,TV news,2023-04-13 14:14:00,"Софийската районна прокуратура привлече към наказателна отговорност 27-годишен мъж, нанесъл телесна повреда на жена. На 11 април около 18 часа в столична болница той я е ударил с юмрук в областта на устата. Деянието е извършено по хулигански подбуди – при липса на личен мотив и без обвиняемият да е бил предизвикан от пострадалата. По случая е образувано досъдебно производство. Установено е, че мъжът вече е осъждан и предвид възможността да извърши друго престъпление е задържан за 72 часа. Предстои да бъде внесено искане в съда за разглеждане на дело за вземане на мярка за неотклонение „задържане под стража“.",, жена,осъд
„С какво предпочиташ да те убия“: С тези думи Калоян е заплашвал друга своя бивша приятелка,https://btvnovinite.bg/bulgaria/s-kakvo-predpochitash-da-te-ubija-s-tezi-dumi-kalojan-k-e-zaplashval-druga-svoja-bivsha-prijatelka.html,btvnovinite.bg,TV news,2023-04-12 19:16:00,"„С какво предпочиташ да те убия? Защо не ме улесниш и не се самоубиеш“. С тези думи обвиненият за убийството на 32-годишнита Кристина Калоян Каймакчийски е заплашвал друга своя бивша приятелка. През декември 2015 г. Калоян започнал отношения с момиче, чиято самоличност няма да разкрием. Двамата отново са били колеги в мобилния оператор, в който е работила и убитата Кристина. Калоян бил ревнив, двамата се карали често и след няколко месеца момичето сложило край на връзката им. Мъжът започнал със заплахите, става ясно от мотивите на съда за условната му присъда. Първо заплахите започнали със съобщения. Писал ѝ че „ще затрие себе си, но и нея и семейството ѝ“. На 26 август 2016 г. рано сутринта по неустановен начин Калоян влязъл в родния дом на момичето. На ръцете си имал ръкавици, на главата – качулка, а на краката калцуни. В дясната ръка държал електрошокова палка, а в лявата – нож. Подсъдимият казал на момичето „Защо не ме улесниш и не се самоубиеш“. Калоян ѝ дал последен шанс да помисли и си тръгнал. След като тя отказала да се съберат, на 12 септември той запалил автомобила на брат ѝ. В 3 ч. през нощта той дошъл Пазарджик и подпалил колата му. „Никой не се ражда насилник и убиец. Това са процеси, които се случват във времето. Този човек също не си е казал сутринта „Аз ще отида до Пазарджик да я заплаша““, казва криминалният психолог Велина Владимирова. Заплахата отправена към бившата приятелка и палежа на колата са извършени в кратък период от време. В този момент Каймакчийски е с чисто съдебно минало. За това, както е по закон, му е наложено едно общо наказание и за двете – условно. Днес обаче той вече е обвиняем за убийството на 32-годишната Кристина. Според криминалния психолог Велина Владимирова заплахата през 2016 г. е била достатъчна, за да покаже, че Калоян е способен да извърши нещо такова. „Той е осъден, но условно. Никой не му е вменил някакви сериозни рестрикции, нито е влязъл в някакъв регистър на насилници или нещо, което да му попречи за в бъдеще“, казва Владимирова.",Пазарджик,приятелк,"уби, наказан, насил, осъд, криминалн"
"Кабинетът ""Донев"" с мерки срещу домашното насилие",https://btvnovinite.bg/bulgaria/kabinetat-donev-s-merki-sreshtu-domashnoto-nasilie.html,btvnovinite.bg,TV news,2023-04-12 18:38:00,"Министерският съвет прие Национална програма за превенция и защита от домашно насилие за 2023 г., съобщават от „Дондуков 1“. В документа са включени предложения от министерства и неправителствени организации, работещи в сферата по превенция и защита от домашно насилие. Набелязани са дейностите, които следва да бъдат реализирани през настоящата година, отговорните органи, източниците на финансиране, сроковете за изпълнение, както и очакваните резултати. Предложени са законодателни, институционални и организационни мерки. В документа са залегнали и дейности за превенция, за обучение и квалификация, за защита, възстановяване и реинтеграция на пострадалите от домашно насилие, работа с извършителите, както и мерки за контрол и оценка. От правителствената пресслужба посочват, че решението не води до въздействие върху държавния бюджет. Съгласно чл. 6, ал. 6 от Закона за защита от домашното насилие, средствата за финансиране на изпълнението на задълженията по приеманата всяка година национална програма се определят ежегодно със Закона за държавния бюджет на Република България за съответната година по бюджетите на министерствата, определени в програмата.",,домашното насилие,"домашно насилие, насил"
Само по bTV: Обвиненият за убийството на Кристина заплашвал и своя бивша приятелка,https://btvnovinite.bg/bulgaria/samo-po-btv-obvinenijat-za-ubijstvoto-na-kristina-zaplashval-i-svoja-bivsha-prijatelka.html,btvnovinite.bg,TV news,2023-04-11 18:38:00,"Обвиненият за убийството на Кристина Благоева Калоян Каймакчийски е осъждан за заплахи за убийство на своя бивша приятелка. Преди това той е подпалил автомобила на брат ѝ. И за двете деяния Каймакчийски е осъден, но и в двата случая получава условна присъда и не влиза в затвора. В момента Калоян Каймакчийски дори се води реабилитиран и съдебното му минало е чисто. Първата присъда на мъжа е за това, че през септември 2016 г. е запалил автомобил. Това се е случило в 3 ч. през нощта. Колата е собственост на брата на последната му към този момент приятелка. За извършеното Калоян получава наказание лишаване от свобода за 10 месеца условно с изпитателен срок от три години и шест месеца. Следващото му провинение идва около година по-късно. Самият Калоян се признава за виновен пред съда за това, че през август 2017 г. се е заканил ""вербално чрез думи и действия с убийство"" към бившата си приятелка, като със заканата той е могъл да възбуди основателен страх за осъществяването му. Каймакчийски е получил наказание от година и половина лишаване от свобода условно с изпитателен срок от три години. В крайна сметка Каймакчийски е реабилитиран през септември 2021 г., научи bTV. Екипът на bTV успя да се срещне с мъжа, койт ое потвърпевш от действията на Калоян още през 2016 г. Той отказа да застане пред камера с лични мотиви, но сподели пред екипа ни, че Калоян явно е човек, който ""не може да преживява раздели"" и допълни, че според него няма правораздавателна система. По думите на мъжа, той не е бил в България, когато автомобилът му у бил запален, а с Калоян са се срещали само веднъж.",,приятелк,"уби, наказан, осъд"
Простреляната от съпруга си жена е в стабилно състояние,https://btvnovinite.bg/bulgaria/prostreljanata-ot-sapruga-si-zhena-e-v-stabilno-sastojanie.html,btvnovinite.bg,TV news,2023-04-11 07:02:00,"Жената, която вчера беше простреляна от мъжа си в софийското село Кокаляне, е в стабилно състояние. Основната версия, по която работи полицията за тежкия инцидент е насилие след семеен скандал. По информация от МВР 60-годишен мъж е прострелял 56-годишната си съпругата си в крака, след което се самоубил. По неофициални данни пострадалата сама е подала сигнал в полицията. Жената е настанена в болница 'Света Анна"".",," жена, съпруга","уби, стрел, насил, сигнал,  полиц"
"Мъж простреля жена в София, после се самоуби (СНИМКИ)",https://btvnovinite.bg/bulgaria/mazh-prostrelja-zhena-v-sofija-posle-se-samoubi.html,btvnovinite.bg,TV news,2023-04-10 12:31:00,"60-годишен мъж простреля в крака 55-годишна жена в столичния квартал ""Кокаляне"", научи bTV.  Стрелбата е станала в 9:35 часа тази сутрин. Жената е била ранена в крака. Откарана е в болница ""Св. Анна"" и е без опасност за живота. След като стреля по нея мъжът се самоубива, съобщават от МВР.  Тече разследване по случая.  Оръжието все още не е установено, но по непотвърдена информация най-вероятно е използвана пушка.",, жена,"уби, стрел,  стрел"
Доказано: Убитата и скрита в багажник на кола жена е застреляна със служебен „Макаров“,https://btvnovinite.bg/bulgaria/dokazano-e-che-ubitata-i-skrita-v-bagazhnik-zhena.html,btvnovinite.bg,TV news,2023-04-09 16:43:00,"Доказано е, че убитата и скрита в багажник на кола Кристина е застреляна със служебен „Макаров“, зачислен на новата приятелка на Калоян. Това стана ясно днес от представените в съда гоказателства. Установено е, че гилзата е намерена в автомобила на пострадалата. Тя е част от патрон, изстрелян от „Макаров“. Пистолетът е бил открит при претърсването в поделението, в което е била военнослужещ свидетелката Йорданка Сотирова. Оръжието е било иззето. По спусъка на пистолета е открита ДНК на жертвата Кристина Благоева, както и на обвиняемия Калоян Каймакчийски. От показанията на Йорданка Сотирова пък става ядно, че обвиняемият ѝ разпоредил да изпере дрехите му, които да изхвърли на различни места. Целта - да укрие следите от извършеното престъпление. Установено е също така, че обвиняемият е бил осъждан за умишлен палеж и за закана за убийство, макар след това да е бил реабилитиран. От представената от защитата епикриза става ясно, че той е в добро здравословно състояние и няма заболявания, които да са несъвместими със съдебния процес срещу него. Калоян Каймакчийски поиска от съда да не бъде задържан под стража, за да може да се грижи за родителите си. Той е категоричен, че няма да укрива и да бяга. Настоява да изчисти името си. Моли също така за по-лека мярка. Съдът обаче реши да го остави за постоянно в ареста, защото има реална опасност мъжът да избяга, да укрие доказателства и и уговаря свидетели за алиби, ако не бъде задържан под стража. Обвиняемият Калоян Каймакчийски има право да обжалва решението на съда в тридневен срок, т.е. до 13 април от 10 ч.",, жена,"уби, стрел, намерен"
След убийството на младата жена в София: Съседите на обвинения мъж пред bTV,https://btvnovinite.bg/bulgaria/sled-ubijstvoto-na-mladata-zhena-v-sofija-sasedite-na-obvinenija-mazh-pred-btv.html,btvnovinite.bg,TV news,2023-04-08 21:11:00,"Съдът решава утре мярката на обвиняемия за убийството на 32-годишната Кристина в София. Както bTV още вчера съобщи, Калоян е бил арестуван в колата му, докато пътува с жена, представила се пред полицаите като военна. 34-годишният Калоян, обвинен за убийството, живее в блок в столичния квартал Люлин. Показваме снимката му на съседи. Те разговаряха с нас, но настояха да не ги показваме с лицата им.  Съседи твърдят, че са го виждали с различни жени и се е карал често с приятелките си. Други разказват, че напоследък Калоян съжителствал с жена, която ходела облечена с военни дрехи. Не я откриваме в апартамента. По информация на bTV една от версиите е, че убийството е извършено с пистолета на жената.  По думите на жители в село Черньово кметицата и майка на обвиняемия за убийството живее именно в тази къща, но опитите ни да се свържем с нея се оказа безуспешни.  Съседи в селото определят семейството на Калоян като добро.  „Аз не съм го виждал от 5 години, защото като тийнейджър идваше тук. Идвал е при мен. Има един манастир - на палатка с групата, седят по два, три дена, чистят, оправят работите и си тръгват. Чух, че има жилище в София. Не ми се вярва, той не е бил пиян, сприхав, нито бунтар. Бащата е пенсионер като мен“, казва Ангел Галев от с. Черньово.  Срещу 34-годишния мъж, който вече е осъждан за закани за убийство към друга бивша негова приятелка и палеж на автомобил, прокуратурата повдигна обвинение в предумишлено убийство. ",с. Черньово, жена,"уби,  полиц"
Майката на обвиняемия за убийството на Кристина: Нищо няма да ви кажа,https://btvnovinite.bg/bulgaria/majkata-na-obvinjaemija-za-ubijstvoto-na-kristina-nishto-njama-da-vi-kazha.html,btvnovinite.bg,TV news,2023-04-07 17:31:00,"„Не ме питайте. Нищо няма да ви кажа“, каза майката на обвиняемия за убийството на 32-годишната Кристина - Калоян К. Единствено bTV успя да се свърже с нея по телефона. Тя не пожела да отговори дали е познавала Кристина. След като беше попитана дали е знаела за намеренията на сина си, тя затвори телефона. Маргарита Каймакчийска е кмет на село Черньово. По данни на хора, работещи в кметството, сутрунта отишла на работа, но малко след това „изхвърчала“. По думите на хората синът ѝ Калоян много рядко се прибирал в селото. По-рано през деня тялото на 32-годишната Кристина бе намерено в багажник на кола в София. За убийството е задържан 34-годишният Калоян К., с когото тя е била в близки отношения.",,майка,"уби, намерен"
"МВР за убитата жена в София: Отношенията ѝ със задържания са били изострени, търсила е помощ от НПО",https://btvnovinite.bg/bulgaria/mvr-za-ubitata-zhena-v-sofija-otnoshenijata-sas-zadarzhanija-sa-bili-izostreni-tarsila-e-pomosht-ot-npo.html,btvnovinite.bg,TV news,2023-04-07 11:29:00,"„Жертвата не е подавала сигнали до МВР. На 3 април е постъпил сигнал от нейни близки, че нямат контакт с нея и не се е явила на среща, на която е трябвало да вземе детето си“. Това коментира главният секретар на МВР Петър Тодоров по повод намереното тяло на убита жена в багажник на кола в София. По думите му личен конфликт е причина за убийството. „В рамките на няколко часа е задържано лицето, за което е събрана информация. По-късно е открито тялото на жената. Вече има образувано досъдебно производство. Двамата са имали връзка. В резултат на изострени отношения той е пристъпил към това брутално действие“, добави той. По информация на bTV жената е имала притеснения за живота си и на работното си място е оставила бележка, в която пише, че ако се случи нещо с нея, трябва да се търси определен човек. Министърът на вътрешните работи Иван Демерджиев коментира, че проблемът с домашното насилие ескалира. „Нужна е по-добра комуникация между институциите и неправителствения сектор. Имало данни, че жертвата е потърсила помощ от НПО, но сигналът не е стигнал до МВР“, посочи Демерджиев. Убитата жена бе намерена в багажник на кола в София. По непотвърдена информация на bTV тялото е открита в трета кола - нито в нейната, нито в тази на заподозрения. Багажникът е бил затворен с полиуретанова пяна.",, жена,"уби, насил, сигнал, осъд, намерен"
