,0
това,2092
след,2049
като,1771
жена,1613
той,1249
има,1242
при,1205
които,1105
който,1105
жената,1068
години,999
няма,973
беше,965
полицията,906
която,905
което,818
детето,813
още,800
към,797
много,774
btv,764
през,731
бъде,716
според,705
пред,702
каза,694
със,652
може,648
преди,648
майката,633
майка,629
тази,616
около,606
във,605
била,605
когато,579
годишната,567
най,566
защото,546
децата,535
само,524
часа,522
болница,519
бил,517
мъж,511
обаче,510
две,502
деца,498
него,497
трябва,489
насилие,486
момиче,475
една,474
един,472
годишна,470
без,470
или,465
година,464
този,459
съм,454
момичето,447
случая,446
нея,442
инцидента,442
всички,435
ако,435
вече,430
село,430
дома,429
днес,428
време,423
казва,422
мвр,417
живота,417
софия,417
заради,416
помощ,415
срещу,404
така,404
жени,403
място,402
били,398
ден,392
тях,386
момента,384
как,379
заяви,374
под,371
над,370
дъщеря,369
хора,367
какво,366
съобщиха,365
прокуратурата,365
дете,357
дни,354
българия,344
семейството,341
било,332
повече,331
път,329
няколко,325
дали,325
бяха,322
мъжът,320
сигнал,314
както,314
лева,314
колата,310
все,310
между,306
три,302
болницата,301
малко,300
хората,299
където,299
вчера,297
състояние,295
информация,294
също,287
обясни,287
годишен,285
инцидентът,283
автомобил,283
двете,282
думите,281
разказа,277
два,277
късно,275
баща,274
там,272
нещо,270
пловдив,259
съд,258
човек,257
опасност,256
тежко,255
бъдат,249
тези,249
данни,248
убийството,246
двамата,245
едно,243
бащата,242
бургас,239
тялото,237
жените,234
производство,234
станал,232
съобщи,230
нас,230
коментира,230
всичко,230
край,227
годишно,225
месеца,224
града,223
става,222
живее,220
пари,220
родителите,219
разказва,218
домашно,217
имало,217
автомобила,214
полиция,212
смъртта,212
докато,212
годишният,210
убийство,209
алкохол,209
близките,208
работа,208
стана,208
въпреки,207
тъй,207
сега,206
задържан,206
пътя,206
прокуратура,204
мен,204
сутрин,201
пострадалата,201
други,201
души,200
част,198
района,195
ясно,195
нито,193
начин,193
сме,191
дори,191
нищо,191
досъдебно,190
инцидент,190
ние,189
тогава,188
съда,187
всеки,185
работи,184
просто,177
социалните,175
могат,175
училище,175
месец,175
продължава,174
мястото,172
жертвата,171
катастрофа,170
веднага,169
твърди,169
георги,168
шофьорът,167
делото,167
затвор,167
варна,167
близо,165
върху,165
случай,165
ареста,165
момент,164
образувано,163
престъпление,163
баба,163
заедно,163
съпругата,163
имат,162
мария,159
тук,159
момичета,159
живот,157
шофьор,156
кола,155
вероятно,155
често,155
престъплението,154
селото,154
пътека,152
къщата,151
никой,151
състоянието,150
лечение,150
добре,149
пъти,149
прокурор,148
заведение,147
подаден,147
семейство,146
годишния,146
затова,146
обвинение,145
отново,144
починала,144
сред,144
друг,143
проверка,143
екип,143
съпруга,142
мога,142
иска,141
направи,141
страна,141
пирогов,140
снощи,140
русе,140
центъра,139
зад,139
защо,139
лекарите,139
катастрофата,138
главата,138
деня,138
квартал,137
предаде,137
друго,137
парите,137
спешна,137
сутринта,137
иван,137
град,135
допълни,135
минути,134
рано,133
започва,133
сигналът,132
прави,131
остава,130
такива,127
съдът,127
център,127
мъжа,126
дирекция,126
двама,126
наранявания,124
извършено,124
мярка,123
жертва,123
управление,123
час,122
пешеходна,121
знам,121
началото,121
момче,121
разследването,120
времето,120
причината,119
сама,119
мъже,118
наркотици,118
края,118
сина,117
някой,116
миналата,116
съпругът,116
кой,116
защита,115
закрила,114
възрастната,114
казват,113
министър,113
закона,112
възрастна,112
случаи,112
отделение,112
столичния,112
грижи,110
училището,110
телефон,110
получи,110
надежда,110
жертвите,109
всяка,109
полицаи,109
предстои,109
директор,109
удари,109
сливен,108
първо,108
толкова,108
благоевград,108
пострадали,108
свобода,107
споделя,107
съседи,107
скорост,106
множество,106
вечерта,106
никога,105
посочи,105
годишното,105
освен,104
почина,104
връзка,103
къща,103
лек,103
задържане,103
дом,103
жилището,102
седмица,102
възраст,102
причините,102
сестра,101
издирва,101
говори,100
опит,100
имаше,100
присъда,100
проблеми,100
март,100
случилото,100
открито,99
работата,99
друга,99
полицаите,99
решение,99
хиляди,99
знае,98
страната,98
тежка,97
живо,97
поиска,97
вижда,97
действия,97
телефона,97
близки,96
последните,96
служители,96
казаха,96
дойде,96
експертиза,96
лицето,96
причина,96
бебето,96
пък,96
документи,96
едва,95
загина,95
случва,95
стане,95
срок,95
лице,95
къде,95
блъсна,94
въпрос,94
лекар,94
димитър,94
искам,94
оглед,94
бързо,94
насилието,94
общината,93
смърт,93
винаги,93
задържани,93
бях,93
започна,93
стара,93
син,93
решението,92
изключително,92
операция,92
проблем,91
загора,91
първи,91
неща,91
пострадалите,91
група,91
момчето,91
часове,91
живеят,90
четири,90
община,89
цялата,89
димитров,89
побой,89
себе,89
етаж,89
после,89
директорът,88
родители,88
точно,88
събития,88
дело,88
води,88
голяма,88
наказание,88
почти,87
случи,87
стража,87
пак,87
станало,87
младата,87
вечер,87
свидетели,86
шок,86
кметът,86
бул,85
удара,84
синът,84
следи,84
януари,84
жертви,84
трима,83
такова,83
столицата,83
мерки,83
региона,82
установено,82
света,82
движението,82
ударил,82
търси,81
кореспондентът,81
намерено,81
областната,81
български,80
полицай,80
октомври,80
настанена,80
вкъщи,80
права,80
смята,80
право,80
водачът,79
даде,79
събота,79
нож,79
гледай,79
спортните,79
трудно,78
неотклонение,78
шофьора,78
рани,78
искат,78
нощта,78
висока,78
своя,78
имаме,77
държавата,77
открити,77
издирване,77
мбал,77
добро,77
общо,77
нощ,77
посока,76
медицинска,76
филмите,76
намира,76
пет,75
когото,75
другата,75
открита,75
пресцентъра,75
оказва,75
георгиев,75
шумен,75
същото,75
случаят,75
работят,74
имала,74
пише,74
остане,74
арест,74
бабата,74
оръжие,73
нямаше,73
случило,73
лица,73
трябвало,73
млада,72
различни,72
имам,72
перник,72
домашното,72
чрез,72
правата,72
излезе,72
криминално,72
особено,71
димитрова,71
бебе,71
добави,71
кажа,71
получава,71
такъв,71
ноември,71
поради,71
нямат,70
засега,70
поне,70
агенция,70
идва,70
автобус,70
остави,70
сметка,69
адвокат,69
граждани,69
екипа,69
другите,69
разследващите,69
доказателства,69
съседите,69
николай,69
септември,69
задържана,69
стефан,68
умишлено,68
травми,68
екипи,68
метра,68
такава,68
градина,68
момичетата,68
първата,68
правят,68
сигнали,67
втори,67
приета,67
петър,67
петров,67
движение,67
уби,67
блок,67
постоянно,67
контрол,67
продължи,67
резултат,67
иванова,66
приятел,66
бременна,66
гледа,66
името,66
юни,66
