,0
това,3569
след,3066
като,2847
жена,2514
насилие,2459
във,2261
той,2191
има,1995
още,1940
които,1938
който,1727
години,1694
при,1588
жената,1576
беше,1564
която,1488
което,1406
към,1405
няма,1343
много,1291
може,1255
пред,1249
полицията,1241
през,1241
мъж,1217
бъде,1207
домашно,1138
каза,1127
според,1119
вече,1103
била,1061
майка,998
преди,985
последвайте,980
година,978
най,967
със,943
детето,933
часа,932
жени,920
или,913
срещу,891
тук,888
тази,885
защото,875
годишната,871
трябва,864
само,859
случая,858
когато,820
новини,807
нея,803
момиче,796
съм,792
българия,792
този,789
над,788
обаче,786
бил,782
него,782
прокуратурата,775
всички,774
майката,762
мъжът,760
facebook,760
една,744
повече,740
убийство,736
дома,734
убийството,733
време,731
съд,731
помощ,731
под,724
софия,723
един,722
nova,711
където,705
задържан,705
ако,696
без,687
около,675
тях,675
ден,671
две,666
село,662
момичето,658
така,653
мвр,644
прокуратура,643
били,641
днес,638
деца,631
хора,611
живота,610
заради,601
дъщеря,595
какво,594
instagram,592
заяви,585
момента,584
годишна,583
както,565
дни,565
болница,561
как,561
няколко,559
децата,546
жените,536
смъртта,535
годишен,533
казва,528
жертвата,524
между,519
тялото,518
семейството,509
сигнал,508
все,493
нас,492
обясни,491
било,484
дете,483
дали,474
хората,470
домашното,462
бъдат,462
защита,459
btv,456
престъпление,455
двамата,455
баща,453
място,449
там,439
тези,437
съда,436
прокурор,436
новините,435
също,432
три,429
затвор,426
съобщиха,426
данни,424
последните,424
късно,420
страницата,419
мен,417
думите,416
харесайте,412
разказа,411
насилието,409
бяха,409
едно,408
производство,407
човек,407
информация,401
нещо,401
път,399
начин,395
малко,395
извършено,392
всеки,385
годишният,383
месеца,382
лева,382
делото,382
разказва,381
съпругата,380
случай,379
ареста,379
състояние,376
двете,374
престъплението,371
става,370
жертва,369
вчера,368
работи,364
коментира,362
побой,358
бнт,358
всичко,355
георги,352
пострадалата,347
два,346
тъй,346
мярка,343
дори,342
главата,341
тогава,340
годишно,340
баба,339
пловдив,334
докато,334
други,329
сега,328
част,328
пари,327
нож,326
жертвите,326
разследването,321
имало,319
болницата,319
могат,318
срок,318
работа,317
ясно,315
обвинение,314
близките,313
бащата,313
родителите,310
видеото,308
news,308
мъжа,307
живее,306
сме,303
досъдебно,301
опасност,300
закона,300
мария,299
града,299
въпреки,298
съдът,297
заедно,296
btvnovinite,295
училище,295
тежко,293
повреда,290
продължава,288
google,288
задържане,287
сте,287
нищо,286
ние,284
твърди,284
нито,283
телесна,282
свобода,280
варна,279
живот,278
край,277
страна,276
пъти,271
стана,268
защо,268
бургас,267
къщата,265
стража,265
отново,264
често,262
стара,261
годишния,260
деня,257
началото,257
връзка,256
загора,256
действия,255
център,255
света,253
социалните,252
гледайте,251
полиция,250
миналата,248
веднага,248
предстои,248
неотклонение,247
месец,246
спрямо,245
добре,242
инцидента,242
върху,242
квартал,241
смърт,240
първи,240
youtube,239
viber,239
мъже,238
близки,238
момичета,238
съпруга,237
започва,236
видео,236
тормоз,236
сред,235
имат,235
затова,235
жертви,233
канала,232
удари,230
образувано,229
случаи,228
чуйте,227
обвиняемият,227
момент,226
всяка,226
никой,224
души,222
допълни,221
доказателства,220
съобщи,219
лицето,219
иван,219
годишното,216
причината,216
иска,216
следете,216
такива,215
близо,215
друго,214
мерки,214
сина,213
говори,211
мога,211
центъра,211
перник,210
друг,209
освен,208
телефон,208
множество,207
края,207
опит,206
лица,205
случаите,205
министър,205
свидетели,205
присъда,204
остава,204
селото,203
обвинен,203
експертиза,202
просто,202
наказание,201
януари,201
промени,201
лице,200
колата,200
семейство,200
никога,200
двама,200
проверка,200
страната,199
случилото,199
екип,199
умишлено,198
района,198
пирогов,197
въпрос,197
първо,196
направи,195
получи,195
кой,194
подкрепа,194
прави,193
разследващите,193
посочи,193
задържани,192
арест,192
скандал,191
следи,191
служители,190
лекарите,189
агресия,188
вижте,188
седмица,188
лечение,187
възрастната,187
дирекция,187
надежда,186
изключително,185
снимки,185
showcase,184
заведение,183
алкохол,183
чрез,183
сама,183
март,183
сутрин,183
сигнали,182
димитър,181
починала,181
син,181
вероятно,180
споделя,180
когото,180
толкова,180
искане,179
работата,179
спешна,178
право,178
жилището,178
мястото,177
особено,176
подаден,176
град,176
искам,176
момче,176
семейни,176
условията,175
проблем,175
начала,175
минути,175
решение,173
нанесъл,173
знам,173
сутринта,173
къде,173
започна,172
група,172
извършителят,172
синът,172
областта,171
открито,170
състоянието,170
управление,170
заповед,170
снощи,170
лишаване,170
столичния,169
възраст,168
цялата,168
точно,166
криминално,166
телефона,165
поиска,165
директор,164
своя,163
установено,163
зад,163
случаят,162
окръжната,162
различни,161
съпругът,161
причина,161
знае,160
час,160
темата,160
случва,159
сигналът,159
някой,159
вечерта,158
русе,158
вкъщи,158
пътя,157
адвокат,157
проблеми,157
закрила,157
инцидентът,157
себе,157
трудно,156
мрежи,156
убита,156
обвинения,155
автомобил,154
telegram,154
рано,154
възрастна,154
училището,153
twitter,153
протест,153
лека,152
почина,152
оглед,151
имаше,151
велико,150
мъжете,150
целия,150
случи,149
рани,149
вижда,148
полицаи,148
къща,148
работят,148
станал,148
казват,147
неща,146
съдебната,146
винаги,146
цел,145
директорът,145
друга,145
приятел,145
лекар,145
полицаите,145
разследване,145
сестра,145
търново,144
бях,144
tiktok,144
даде,143
доживотен,143
февруари,143
сподели,143
оръжие,143
присъдата,142
стане,142
престъпления,142
пострадалите,142
акт,141
направил,141
очаква,141
постоянно,141
дело,141
съседи,141
медицинска,141
нощта,141
казаха,140
отговорност,140
документи,140
грижи,140
остави,139
търси,139
цялото,139
държавата,139
приятелката,138
дом,138
нападението,138
районна,137
български,137
приятели,136
станало,136
парите,136
резултат,135
отделение,135
именно,134
затвора,134
полицейски,134
фондация,134
съдебно,133
пак,133
деянието,133
голяма,133
млада,133
приятелка,132
пострадали,132
георгиев,132
убитата,132
димитров,131
такъв,131
решението,131
наранявания,130
страх,130
уби,130
бързо,130
часове,130
извърши,130
такова,130
апартамента,130
открита,130
съвет,129
води,129
после,129
едва,129
момчето,129
издирване,128
имаме,128
ноември,128
благоевград,127
окръжна,127
имала,127
открити,127
общо,127
такава,127
времето,127
кодекс,127
пък,126
пазарджик,126
случило,126
враца,126
жилище,125
кажа,125
вечер,125
община,125
органите,125
нова,124
обвиняемия,123
октомври,123
отношение,123
сила,123
юли,123
искат,122
автомобила,122
някои,122
хиляди,122
май,122
септември,121
новото,121
