,0
това,920
във,831
още,810
след,779
жена,731
насилие,669
тук,660
като,654
nova,579
той,536
които,484
вече,465
има,461
години,459
новини,455
който,411
facebook,411
страницата,392
харесайте,389
при,383
много,379
новините,376
беше,373
което,364
жената,359
която,355
през,327
българия,325
мъж,324
най,314
към,307
няма,306
била,289
пред,284
може,278
или,272
домашно,268
жени,267
instagram,263
каза,262
последвайте,259
детето,258
майка,257
бъде,255
със,240
само,239
защото,239
полицията,233
преди,230
година,227
според,226
часа,222
този,221
трябва,221
обаче,218
годишната,216
съм,209
софия,203
нея,202
една,201
срещу,200
мъжът,200
него,199
помощ,198
всички,197
деца,195
повече,192
когато,190
момиче,188
майката,187
над,185
време,184
без,183
тази,183
видео,182
жените,180
тях,179
живота,176
един,174
хора,172
убийството,170
бил,169
ако,169
село,168
случая,168
под,168
дома,168
ден,166
съд,166
две,165
какво,164
децата,162
смъртта,158
как,158
обясни,155
заради,152
дъщеря,151
били,151
видеото,150
момичето,150
около,150
дете,149
нас,148
така,148
там,147
прокуратурата,147
разказва,145
заяви,145
задържан,143
дни,142
семейството,142
убийство,141
все,141
жертва,141
жертвата,141
прокуратура,137
мен,137
света,136
болница,133
първи,131
гледайте,130
между,129
домашното,129
баща,129
няколко,129
разказа,128
момента,127
viber,127
telegram,127
казва,127
twitter,127
лева,126
където,124
годишна,124
хората,122
тези,119
както,118
всеки,118
човек,117
било,116
снимки,116
едно,115
мвр,113
днес,112
път,111
баба,111
затвор,109
престъпление,109
три,109
новото,108
малко,108
тялото,108
дали,107
сигнал,107
годишно,107
защита,106
място,103
приложение,103
всичко,102
ios,101
насилието,101
научавате,101
apple,101
изтеглете,101
android,101
живот,101
става,101
дори,101
информация,100
докато,99
начин,99
годишен,98
нещо,98
годишният,97
съпругата,97
съда,96
извършено,95
ареста,93
тогава,93
двамата,93
думите,93
сега,90
мария,90
пари,90
мъжа,89
бъдат,88
прокурор,88
коментира,88
тъй,87
също,87
живее,86
два,86
училище,85
късно,84
защо,84
данни,84
могат,84
бяха,83
двете,82
други,81
въпреки,81
темата,81
твърди,80
деня,80
сме,79
тормоз,79
болницата,78
пъти,77
нищо,77
работа,77
мярка,77
варна,77
съобщиха,76
главата,76
побой,76
всяка,75
момент,75
делото,74
престъплението,74
отново,74
заедно,74
състояние,74
работи,72
георги,72
част,72
месец,72
съдът,72
месеца,71
пловдив,71
закона,71
нож,71
страна,71
случай,70
родителите,70
жертвите,70
задържане,69
производство,69
appgallery,69
huawei,69
мерки,69
ние,68
ясно,68
близките,67
пострадалата,67
споделя,67
върху,67
никой,67
свобода,67
смърт,66
срок,66
продължава,66
иван,65
добре,65
сама,65
съпруга,64
стана,64
стража,64
край,64
квартал,63
семейство,63
бащата,63
града,63
сподели,61
важните,61
сред,61
възрастна,61
действия,61
обвинение,61
искам,60
януари,60
никога,60
сина,60
поща,60
неотклонение,60
доказателства,59
къщата,59
социалните,59
веднага,59
годишния,58
полиция,58
тежко,58
близки,58
почина,58
души,58
удари,58
причината,58
безплатно,58
освен,58
възраст,57
изключително,57
жертви,57
спрямо,57
мога,57
началото,57
затова,56
абонирайте,56
информационния,56
имало,56
бюлетин,56
получавате,56
иска,56
въпрос,56
мъже,56
направи,56
електронната,56
синът,55
подкрепа,55
разследването,55
започна,55
лекарите,55
възрастната,55
прави,54
мъжете,54
често,54
вкъщи,54
друг,54
вчера,54
предстои,54
последните,54
лице,53
края,53
остава,53
репортер,53
столичния,52
вижте,52
екип,52
центъра,52
започва,52
множество,52
нова,52
опит,51
служители,51
връзка,51
обвинен,51
колата,51
час,51
надежда,51
телефон,51
допълни,50
център,50
имат,50
бях,50
страната,50
случаи,50
алкохол,50
здравей,50
целия,50
толкова,50
опасност,50
убита,49
своя,49
първо,49
февруари,49
постоянно,49
лечение,48
миналата,48
следи,48
кой,48
знам,48
особено,48
агресия,48
чрез,48
уби,48
близо,48
цел,47
състоянието,47
търси,47
инцидента,47
март,47
имаше,47
пирогов,46
говори,46
друго,46
нито,46
починала,46
син,46
получи,45
пътя,45
седмица,45
български,45
арест,45
просто,45
бургас,44
група,44
промени,44
окръжната,44
спешна,44
посочи,44
жилището,44
телефона,44
досъдебно,44
случилото,43
директорът,43
трудно,43
убил,43
района,43
преби,43
правата,43
лица,43
момичета,43
обвиняемият,42
мястото,42
заведение,42
такива,42
свидетели,42
приятели,42
двама,42
годишното,42
съпругът,41
различни,41
случаите,41
винаги,41
селото,41
проверка,41
право,41
причина,41
къде,41
скандал,41
град,41
проблем,41
когото,40
инцидент,40
едва,40
затвора,40
средства,40
извършителят,40
неща,40
именно,40
момче,39
май,39
улицата,39
министър,39
лишаване,39
млада,39
зад,39
случва,39
такъв,39
присъда,39
задържани,39
остави,39
случи,39
знае,39
конвенция,39
протест,38
инцидентът,38
апартамента,38
вижда,38
разследващите,38
covid,38
вечерта,38
почти,38
училището,38
физическо,38
минути,37
документи,37
искане,37
цялото,37
починалата,37
пребил,37
даде,37
случило,37
себе,37
подобни,37
фондация,37
грижи,37
какви,37
работата,37
такова,36
станал,36
изнасилване,36
решението,36
ефира,36
заповед,36
решение,36
операция,35
доживотен,35
места,35
пак,35
проблема,35
нанесъл,35
адвокат,35
мрежи,35
полицаи,35
сутринта,35
христо,35
дом,35
върне,35
доста,34
нови,34
търново,34
жилище,34
дело,34
пък,34
стане,34
сметка,34
стара,34
умишлено,34
закон,34
приятелката,34
септември,34
трагедията,34
открито,34
установено,34
задържаха,33
точно,33
сестра,33
пострадалите,33
същото,33
велико,33
психолог,33
борислав,33
дирекция,33
истанбулската,33
врата,33
имам,33
деница,33
друга,33
закрила,33
лицето,33
сила,33
намира,33
нападението,33
грабеж,33
открити,32
лекар,32
психически,32
директор,32
съобщават,32
експертиза,32
коментари,32
извършителя,32
такава,32
съдебната,32
проблеми,32
казват,32
диана,32
управление,32
условията,32
трябвало,32
русе,32
нощта,32
историята,31
някои,31
окръжният,31
кола,31
извършител,31
данните,31
обвинения,31
имаме,31
същия,31
парите,31
думи,31
ловеч,31
повреда,31
нужда,31
вечер,31
откриха,31
адвокатът,31
