Title,URL,Source,Type,DateTime,Article,Location,Keywords1,Keywords2
СЛЕД ПОБОЯ НАД ЖЕНА: Масов протест в Бобов дол,https://nova.bg/news/view/2023/05/02/410382/%D1%81%D0%BB%D0%B5%D0%B4-%D0%BF%D0%BE%D0%B1%D0%BE%D1%8F-%D0%BD%D0%B0%D0%B4-%D0%B6%D0%B5%D0%BD%D0%B0-%D0%BC%D0%B0%D1%81%D0%BE%D0%B2-%D0%BF%D1%80%D0%BE%D1%82%D0%B5%D1%81%D1%82-%D0%B2-%D0%B1%D0%BE%D0%B1%D0%BE%D0%B2-%D0%B4%D0%BE%D0%BB/,nova.bg,TV news,2023-05-02 12:43:00,"Критично е състоянието на 55-годишната жена от Бобов дол, която беше пребита зверски на пешеходна алея в града.   Тя е изпаднала в кома. Тази сутрин около 200 души в Бобов дол се събраха на протест заради случая. Близките и съгражданите на Албена Евтимова поискаха по-сериозни мерки за безопасност. Оставиха в ареста младежа, пребил и ограбил жена в Бобов дол   Местните настояват всички новопристигнали в града да бъдат регистрирани, защото броят на новите заселници значително се е увеличил, а с тях и броя на кражбите и посегателствата, твърдят хората.   Такъв е случаят на Албена Евтимова, която беше нападната и удряна в главата заради 30 лева. Извършителят се оказа 21-годишен мъж. Пострадалата жена се нуждае от преливане на кръв, обясниха нейните близки. Новините на NOVA - вече в Instagram, Twitter, Telegram и Viber - последвайте ни. За още новини харесайте и страницата ни във Facebook.",Бобов дол, жена,преби
"Оставиха в ареста младежа, пребил и ограбил жена в Бобов дол",https://nova.bg/news/view/2023/05/01/410304/%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%85%D0%B0-%D0%B2-%D0%B0%D1%80%D0%B5%D1%81%D1%82%D0%B0-%D0%BC%D0%BB%D0%B0%D0%B4%D0%B5%D0%B6%D0%B0-%D0%BF%D1%80%D0%B5%D0%B1%D0%B8%D0%BB-%D0%B8-%D0%BE%D0%B3%D1%80%D0%B0%D0%B1%D0%B8%D0%BB-%D0%B6%D0%B5%D0%BD%D0%B0-%D0%B2-%D0%B1%D0%BE%D0%B1%D0%BE%D0%B2-%D0%B4%D0%BE%D0%BB/,nova.bg,TV news,2023-05-01 17:52:00,"Окръжният съд в Кюстендил взе мярка за неотклонение „задържане под стража“ по отношение на 21-годишният мъж, пребил и ограбил жена в Бобов дол. Решението може да се обжалва пред Апелативния съд в София. Младият мъж е обвиняем за това, че на 2 април, около 19:00 ч. в гр. Бобов дол, на пешеходната алея в местността „Свети Спас“ е отнел дамска чанта, мобилен телефон и парична сума в размер на 30 лв., от 55-годишна жена от Бобов дол, като е употребил за това сила – нанесъл ѝ удари с камък в областта на главата на пострадалата, с което ѝ е причинил тежка телесна повреда. Тежко остава състоянието на жената, пребита за 30 лева и мобилен телефон 21-годишният мъж е направил самопризнания. Според съда има опасност той да се укрие или да извърши престъпление. Младият мъж е осъждан като непълнолетен за нанасяне на средна телесна повреда и за грабеж, придружен със средна телесна повреда. Престъплението по настоящето дело е извършено в рамките на изпитателния му срок. Жената, която беше нападната с цел грабеж, е служител на администрацията на затвора в Бобов дол. Новините на NOVA - вече в Instagram, Twitter, Telegram и Viber - последвайте ни. За още новини харесайте и страницата ни във Facebook.","Бобов дол, Кюстендил, гр. Бобов дол", жена,преби
"Крум Зарков от Русе: Няма закон, който да предотвратява домашното насилие",https://nova.bg/news/view/2023/05/01/410275/%D0%BA%D1%80%D1%83%D0%BC-%D0%B7%D0%B0%D1%80%D0%BA%D0%BE%D0%B2-%D0%BE%D1%82-%D1%80%D1%83%D1%81%D0%B5-%D0%BD%D1%8F%D0%BC%D0%B0-%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD-%D0%BA%D0%BE%D0%B9%D1%82%D0%BE-%D0%B4%D0%B0-%D0%BF%D1%80%D0%B5%D0%B4%D0%BE%D1%82%D0%B2%D1%80%D0%B0%D1%82%D1%8F%D0%B2%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D0%BE%D1%82%D0%BE-%D0%BD%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B5/,nova.bg,TV news,2023-05-01 12:45:00,"Работа с насилника, за да не се стига до рецидив или до убийство. Това предлага на 49-ото Народно събрание правосъдното министерство в своя вариант на проектозакон за домашното насилие. Голямата цел е да не се стига до крайната фаза на домашното насилие, като се защити жертвата и бъде изведена от там, където е застрашена. Но няма закон, който би могъл да предотврати домашното насилие. Това заяви в Русе служебният министър на правосъдието Крум Зарков за поредния случай на домашно насилие, при който беше убита жена. Крум Зарков: Дебатът за закона за домашното насилие се замърсява от други удобни въпроси Зарков е категоричен, че трябва да се работи с насилниците за превъзпитаване, тъй като насилието не свършва с тяхното попадане в затвора и изтърпяване на наказанието. Според правосъдния министър, тези, при които насилието произтича от психически проблеми, трябва да бъдат лекувани. По думите на Крум Зарков, няма закон, който би могъл да предотврати домашното насилие. Ограничителната заповед срещу насилника е първата стъпка, която жертвата трябва да предприеме. И да не я нарушава, подведена от обещания за поправяне на поведението, овладяване на агресията, манипулации, че ще си посегне на живота, ако не са заедно, категорични са експерти от неправителствения сектор. Оттам допълват, че различните институции у нас, ангажирани по документи с проблема ""домашно насилие"", не действат координирано. Затова, според тях, превенцията у нас на практика не работи. Новините на NOVA - вече в Instagram, Twitter, Telegram и Viber - последвайте ни. За още новини харесайте и страницата ни във Facebook.",Русе,домашното насилие,"домашно насилие, уби, насил, жертва"
Какви са ефективните мерки срещу домашното насилие,https://nova.bg/news/view/2023/05/01/410241/%D0%BA%D0%B0%D0%BA%D0%B2%D0%B8-%D1%81%D0%B0-%D0%B5%D1%84%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D0%B8%D1%82%D0%B5-%D0%BC%D0%B5%D1%80%D0%BA%D0%B8-%D1%81%D1%80%D0%B5%D1%89%D1%83-%D0%B4%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D0%BE%D1%82%D0%BE-%D0%BD%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B5/,nova.bg,TV news,2023-05-01 07:59:00,"12 жени са убити от началото на годината у нас при домашно насилие. Какви може да са ефективните мерки срещу подобни трагедии? Темата коментираха в предаването „Здравей, България” адвокат Йорданка Бекирска, Надежда Стойчева, председател на фондация „Анимус”, и Даниела Колева, програмен директор „Закрила на детето” в УНИЦЕФ-България. Убийството в Перник: Дете на жертвата е подало сигнала до полицията „Идеята е да има превенция. Няма да можем изведнъж с един закон да спрем извършването на подобни актове. Трябва превенция и в момента, в който има такъв сигнал, всяка една от структурите на държавата да може да влезе в сила, а пострадалото лице да получи пълна подкрепа, за да не допуска продължаващото влияние на извършителя върху него ”, заяви адвокат Бекирска. Според Надежда Стойчева на жертвите на домашно насилие е много трудно да вземат окончателно решение. „Необходима им е психологическа подкрепа. Специално в Перник има организация, но доколкото знам, жената е взела ограничителна заповед, но не е потърсила психологическа помощ. Такава е много необходима, за да вземе решение жената за живота си и за нейните деца”, обясни Стойчева. Според Даниела Колева не трябва да се прехвърля вината върху жените, които се връщат при мъжете си насилници. Убийство след домашно насилие в Перник „Трябва да разберем тези жени и да не прехвърляме вината върху тях, че го правят. Много често те са икономически зависими, много често са подлагани на опити за манипулирани, за това, че човекът, с когото живеят ще се самоубие. Много често го правят в името на децата. Има организации, когато им е трудно, трябва да потърсят помощ”, коментира Даниела Колева. Адвокат Бекирска коментира, че при такива случаи, не жената, а насилникът трябва да бъде изведен от дома. „Животът на жената и децата не се променя. Извършителят трябва да е извън дома”, каза Бекирска. „Заканите, че ще се самоубие – това е краен вариант на манипулация, който в случая е сработил”, обясни Надежда Стойчева. Повече гледайте във видеото. Новините на NOVA - вече в Instagram, Twitter, Telegram и Viber - последвайте ни. За още новини харесайте и страницата ни във Facebook",Перник,домашното насилие,"домашно насилие, уби, насил, жертва"
Крум Зарков: Дебатът за закона за домашното насилие се замърсява от други удобни въпроси,https://nova.bg/news/view/2023/04/30/410147/%D0%BA%D1%80%D1%83%D0%BC-%D0%B7%D0%B0%D1%80%D0%BA%D0%BE%D0%B2-%D0%B4%D0%B5%D0%B1%D0%B0%D1%82%D1%8A%D1%82-%D0%B7%D0%B0-%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D0%B0-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D0%BE%D1%82%D0%BE-%D0%BD%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B5-%D1%81%D0%B5-%D0%B7%D0%B0%D0%BC%D1%8A%D1%80%D1%81%D1%8F%D0%B2%D0%B0-%D0%BE%D1%82-%D0%B4%D1%80%D1%83%D0%B3%D0%B8-%D1%83%D0%B4%D0%BE%D0%B1%D0%BD%D0%B8-%D0%B2%D1%8A%D0%BF%D1%80%D0%BE%D1%81%D0%B8/,nova.bg,TV news,2023-04-30 09:46:00,"Обвиненият за убийството в Перник може да получи до 20 години затвор. Но това ще върне ли майката на тези две деца, след като е имало множество индикации за домашно насилие? Затова трябва да се предприеме подход, който не трябва да допуска подобни неща да се случват. Този дебат обаче от твърде много време е замърсен.  Това заяви в студиото на „Събуди се” министърът на правосъдието Крум Зарков в коментар на убийството в Перник, при което загина жена, жертва на домашно насилие. По думите му в България дебатът за домашното насилие е засенчен от други удобни въпроси – джендъри, хомосексуални права и какво ли не още. „Няколко са партиите, които говорят по тези въпроси. БСП е най-гласовитата по тази тема, което въобще не ѝ прави чест”. Според Зарков от години се знае какво трябва да се направи по въпроса и дори е внесен законопроект. „Трябва да се изгради система, която да координира усилията на различни органи – МВР, Министерство на правосъдието, социални грижи. Трябва възможно най-бързо жертвата да бъде защитена. трябва да се работи и с насилника. Трябва да се обърне внимание и на психичното здраве в България. Как се дава и контролира притежанието на оръжие?”, посочи той. Целия разговор гледайте във видеото. Новините на NOVA - вече в Instagram, Twitter, Telegram и Viber - последвайте ни. За още новини харесайте и страницата ни във Facebook.",Перник,домашното насилие,"домашно насилие, уби, насил, жертва"
Задържан е заподозрян за побоя над жена в Бобов дол,https://nova.bg/news/view/2023/04/29/410107/%D0%B7%D0%B0%D0%B4%D1%8A%D1%80%D0%B6%D0%B0%D0%BD-%D0%B5-%D0%B7%D0%B0%D0%BF%D0%BE%D0%B4%D0%BE%D0%B7%D1%80%D1%8F%D0%BD-%D0%B7%D0%B0-%D0%BF%D0%BE%D0%B1%D0%BE%D1%8F-%D0%BD%D0%B0%D0%B4-%D0%B6%D0%B5%D0%BD%D0%B0-%D0%B2-%D0%B1%D0%BE%D0%B1%D0%BE%D0%B2-%D0%B4%D0%BE%D0%BB/,nova.bg,TV news,2023-04-29 17:43:00,"Има задържан за жестокия побой над жена в Бонов дол. Той е на 21 години и е местен.  Изключително тежко остава състоянието на 55-годишната жена. Нападението над 55-годишната жена става на пешеходната алея, която свързва двата големи квартала на Бобов дол. В момента в който наоколо няма никой друг, внезапно жената е ударена жестоко в лицето с твърд предмет. Извършителят взима чантата ѝ и я оставя в безпомощно състояние.   В ранния следобяд от полицията обявиха, че вече има заподозрян. По-късно той е направил пълни самопризнания.   Ангел Байрактарски от Окръжна прокуратура  -Кюстендил съобщи, че извършителят е разкрит. ""Задържан е, същият е привлечен като обвиняем за престъпление по чл. 199, ал1, тоест грабеж с причинена тежка телесна повреда"", обясни той. Пребиха началничка на отдел в затвора в Бобов дол   Извършителят е на 21 години. Преди 4 години, когато все още е бил непълнолетен, той е бил осъждан за причиняване на средна телесна повреда, тогава наказанието му е било условна присъда с изпитателен срок от три години. Снощи е нападнал жената изключително свирепо. След нанесени удари и упражнена сила, на жената е отнета чанта с лични вещи - мобилен телефон, пари - около 40 лв., и ключове.    ""Не е с камък, с дървен предмет, ударена е в главата доста сериозно е увреждането, според мен е повече от веднъж, но по отношение на броя и интензитета на ударите съдебно медицинската експертиза ще бъде достатъчно обстоятелствена и ще даде категорични сведения, допълни Байрактарски.   За извършеното деяние законът предвижда затвор от 5 до 15 години. Новините на NOVA - вече в Instagram, Twitter, Telegram и Viber - последвайте ни. За още новини харесайте и страницата ни във Facebook.","Бобов дол, Кюстендил", жена,преби
Доц. Стойчев за домашното насилие: Нямаме достатъчно подготвени психолози,https://nova.bg/news/view/2023/04/28/410016/%D0%B4%D0%BE%D1%86-%D1%81%D1%82%D0%BE%D0%B9%D1%87%D0%B5%D0%B2-%D0%B7%D0%B0-%D0%B4%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D0%BE%D1%82%D0%BE-%D0%BD%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B5-%D0%BD%D1%8F%D0%BC%D0%B0%D0%BC%D0%B5-%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%82%D1%8A%D1%87%D0%BD%D0%BE-%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%B2%D0%B5%D0%BD%D0%B8-%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B7%D0%B8/,nova.bg,TV news,2023-04-28 17:57:00,"11 жени са убити в България от началото на годината. На този фон предстои Народното събрание да гласува Закон за домашното насилие. Той предвижда различни мултидисциплинарни екипи, които при сигнал, да посетят жертвата на насилие. В тези групи е описано да има психолог и профайлър. „Ако наистина така е записано в закона, ми се струва, че е проява на неразбиране на работата на профайлъра. Той работи по тежки престъпления - насилието е такова, но извършителят трябва да бъде неизвестен. Вероятно, в случая се има предвид, че в екипа трябва да присъства психолог, който да може да работи с жертвата по начин, за да извлече достоверна информация”, обясни в „Денят на живо” по NOVA NEWS криминалният психолог и бивш ректор на Академията на МВР доц. Неделчо Стойчев. Той посочи, че при случаите на домашно насилие по-голямата част от жертвите не обичат да споделят и изпитват срам. Именно затова, смята експертът, толкова малко подобни случаи са докладвани в полицията и стават достояние на обществеността. В този смисъл за него е ключова ролята на психолога, който да има подготовка по отношение работа с жертви на насилие. Сега очакванията са моделът на работа с жертвите на насилие да се институционализира, след като досега с тях работеха неправителствени организации. Имаме ли обаче достатъчно подготвени психолози: „Естествено, че нямаме достатъчен брой подготвени психолози. Не знам на какъв принцип ще се организират тези групи. Ще бъдат регионални или някакви летящи звена? Психолозите от НПО-тата са по-скоро терапевтично ориентирани”, посочи доц. Стойчев. Бившият ректор на Академията на МВР е категоричен, че насилието е престъпление. „Домашното насилие или семейните насилници успяват да реализират своето поведение в продължителен период, тъй като има известна толерантност към този процес - както вътре в семействата, така и сред обществото”, е неговото мнение. Доц. Стойчев разкри, че големият проблем на семейните насилници е нарцистичната травма, която не могат да преодолеят, от това, че жертвата им ги е изоставила. „Лишила ги е от възможността да разтоварват емоционалните си неблагополучия върху нея”, обясни криминалният психолог. Още гледайте във видеото. Новините на NOVA - вече в Instagram, Twitter, Telegram и Viber - последвайте ни. За още новини харесайте и страницата ни във Facebook.",,домашното насилие,"домашно насилие, уби, насил, жертва"
"Намалиха присъдата на мъжа, убил приятелката си в „Банишора”",https://nova.bg/news/view/2023/04/24/409494/%D0%BD%D0%B0%D0%BC%D0%B0%D0%BB%D0%B8%D1%85%D0%B0-%D0%BF%D1%80%D0%B8%D1%81%D1%8A%D0%B4%D0%B0%D1%82%D0%B0-%D0%BD%D0%B0-%D0%BC%D1%8A%D0%B6%D0%B0-%D1%83%D0%B1%D0%B8%D0%BB-%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B5%D0%BB%D0%BA%D0%B0%D1%82%D0%B0-%D1%81%D0%B8-%D0%B2-%D0%B1%D0%B0%D0%BD%D0%B8%D1%88%D0%BE%D1%80%D0%B0/,nova.bg,TV news,2023-04-24 14:57:00,"20 години затвор за Васил Василев, обвинен за убийството на приятелката си в столичния квартал „Банишора” в началото на 2019 г. По обвинителен акт на Софийската градска прокуратура той окончателно е признат за виновен. Доживотен затвор за мъжа, убил приятелката си в столичния квартал „Банишора” През 2022 г. Софийският градски съд призна подсъдимия за виновен в това, че за времето между 23:30 ч. на 15 януари и 04:00 ч. на 16 януари 2019 г. умишлено и с особена жестокост е умъртвил приятелката си Калина Симова и му наложи наказание „доживотен затвор“ при първоначален специален режим на изтърпяване. Първоинстационната присъда е потвърдена от Софийския апелативен съд. Обвиненият в убийството на приятелката си се разплака в съда (ВИДЕО) С решение от 14 февруари 2023 г. на Върховния касационен съд обаче присъдата е изменена на „лишаване от свобода“ за срок от 20 години, което да се изтърпи при първоначален строг режим. Измененото наказание е влязло в сила. СГП незабавно е предприела действия за изпълнение на присъдата. Новините на NOVA - вече в Instagram, Twitter, Telegram и Viber - последвайте ни. За още новини харесайте и страницата ни във Facebook.",,приятелк,уби
"С ПОМОЩ ОТ ДОБРИ ХОРА: Една майка спаси сина си, като му дари бъбрек",https://nova.bg/news/view/2023/04/16/408485/%D1%81-%D0%BF%D0%BE%D0%BC%D0%BE%D1%89-%D0%BE%D1%82-%D0%B4%D0%BE%D0%B1%D1%80%D0%B8-%D1%85%D0%BE%D1%80%D0%B0-%D0%B5%D0%B4%D0%BD%D0%B0-%D0%BC%D0%B0%D0%B9%D0%BA%D0%B0-%D1%81%D0%BF%D0%B0%D1%81%D0%B8-%D1%81%D0%B8%D0%BD%D0%B0-%D1%81%D0%B8-%D0%BA%D0%B0%D1%82%D0%BE-%D0%BC%D1%83-%D0%B4%D0%B0%D1%80%D0%B8-%D0%B1%D1%8A%D0%B1%D1%80%D0%B5%D0%BA/,nova.bg,TV news,2023-04-16 09:15:00,"В началото на март ви разказахме за Светла, която искаше да дари бъбрека си на сина си, за да живее. Цялото семейство страдаше, защото вече са губили син, а за спасението на този бяха нужни много пари. Много повече отколкото близки и роднини бяха успели да съберат до този момент. Благодарение и на вас, зрителите на NOVA, чудото за Светла и сина ѝ дойде. Сълзи на болка, отчаяние, безнадеждност - така за пръв път видяхме Светла. Една майка, готова на всичко, за да живее болният ѝ син. Той страда от бъбречна недостатъчност и единственият лек беше трансплантация. За операцията в Турция бяха нужни много пари, с които семейството не разполагаше. С дарителска кампания обаче средствата бяха събрани.   А операцията в Турция минала като на сън. Така чудото за Светла и синът ѝ идва малко преди Великден, за да може днес всички да са заедно на празника. След 18 месеца страдание, прикован на легло, той вече е добре. Отново ходи, усмихва се и прави това, което най-много обича – готви за цялото семейство.   Синът му, за когото той се грижи сам, е най-щастлив, защото вече не вижда баща си прикован за леглото. История с щастлив край ни разказва Румяна Попова. Новините на NOVA - вече в Instagram, Twitter, Telegram и Viber - последвайте ни. За още новини харесайте и страницата ни във Facebook. ",,майка,уби
Служебният кабинет с мерки срещу домашното насилие,https://nova.bg/news/view/2023/04/12/408166/%D1%81%D0%BB%D1%83%D0%B6%D0%B5%D0%B1%D0%BD%D0%B8%D1%8F%D1%82-%D0%BA%D0%B0%D0%B1%D0%B8%D0%BD%D0%B5%D1%82-%D1%81-%D0%BC%D0%B5%D1%80%D0%BA%D0%B8-%D1%81%D1%80%D0%B5%D1%89%D1%83-%D0%B4%D0%BE%D0%BC%D0%B0%D1%88%D0%BD%D0%BE%D1%82%D0%BE-%D0%BD%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B5/,nova.bg,TV news,2023-04-12 18:30:00,"На свое заседание правителството одобри решение за приемане на Национална програма за превенция и защита от домашно насилие за 2023 г., съобщиха от пресслужбата на служебния кабинет. В документа са включени предложения от министерства и неправителствени организации, работещи в сферата на превенция и защита от домашно насилие. 21 НПО-та поискаха мерки срещу домашното насилие след убийството на Кристина Благоева Набелязани са дейностите, които следва да бъдат реализирани през настоящата година - отговорните органи, източниците на финансиране, сроковете за изпълнение, както и очакваните резултати. Предложени са законодателни, институционални и организационни мерки. В документа са залегнали и дейности за превенция, за обучение и квалификация, за защита, възстановяване и реинтеграция на пострадалите от домашно насилие, работа с извършителите, както и мерки за контрол и оценка. Новините на NOVA - вече в Instagram, Twitter, Telegram и Viber - последвайте ни. За още новини харесайте и страницата ни във Facebook.",,домашното насилие,"домашно насилие, уби, насил"
