CODE,NAME
00084,Аврен
00151,Айтос
00182,Аксаково
00415,Алфатар
00504,Антон
00518,Антоново
52218,Априлци
00607,Ардино
00702,Асеновград
02508,Балчик
44402,Баните
02676,Банско
02837,Батак
03366,Белене
03504,Белица
03592,Белово
03616,Белоградчик
03719,Белослав
03928,Берковица
04279,Благоевград
04501,Бобов дол
04532,Бобошево
05027,Божурище
05195,Бойница
05236,Бойчиновци
05284,Болярово
05462,Борино
05548,Борован
05611,Борово
05815,Ботевград
06183,Братя Даскалови
06207,Брацигово
06224,Брегово
06286,Брезник
06361,Брезово
06570,Брусарци
07079,Бургас
07598,Бяла
07603,Бяла
07702,Бяла Слатина
10135,Варна
58222,Велики Преслав
10447,Велико Търново
10450,Велинград
10642,Венец
10803,Ветово
10865,Ветрино
10971,Видин
12259,Враца
12543,Вълчедръм
12574,Вълчи дол
12766,Върбица
12961,Вършец
14218,Габрово
14711,Генерал Тошево
14773,Георги Дамяново
15031,Главиница
15309,Годеч
16314,Горна Малина
16359,Горна Оряховица
17395,Гоце Делчев
17645,Грамада
18099,Гулянци
18157,Гурково
18280,Гълъбово
18366,Гърмен
20184,Две могили
20465,Девин
20482,Девня
20746,Джебел
21052,Димитровград
21097,Димово
72624,Добрич
72624,Добрич-селска
22006,Долна баня
22215,Долна Митрополия
22407,Долни Дъбник
21912,Долни чифлик
23025,Доспат
23409,Драгоман
23947,Дряново
24030,Дулово
68789,Дупница
24565,Дългопол
27190,Елена
27303,Елин Пелин
27382,Елхово
27632,Етрополе
30065,Завет
30778,Земен
30962,Златарица
31044,Златица
31111,Златоград
32024,Ивайловград
32095,Иваново
55782,Искър
32874,Исперих
32901,Ихтиман
35064,Каварна
35167,Казанлък
35242,Кайнарджа
35523,Калояново
35883,Камено
36079,Каолиново
36498,Карлово
36525,Карнобат
36587,Каспичан
36926,Кирково
37376,Кнежа
37513,Ковачевци
37798,Козлодуй
38558,Копривщица
38902,Костенец
38978,Костинброд
39030,Котел
39116,Кочериново
14492,Кресна
39846,Криводол
39921,Кричим
39970,Крумовград
40097,Крушари
40422,Кубрат
40467,Куклен
40525,Кула
40909,Кърджали
41112,Кюстендил
43236,Левски
43369,Лесичово
43476,Летница
43952,Ловеч
44166,Лозница
44238,Лом
44327,Луковит
44478,Лъки
44570,Любимец
44793,Лясковец
46045,Мадан
46084,Маджарово
46245,Макреш
46663,Малко Търново
56784,Марица
47593,Медковец
47714,Мездра
48043,Мизия
48297,Минерални бани
48324,Мирково
48996,Момчилград
48489,Монтана
49494,Мъглиж
51216,Невестино
51319,Неделино
51500,Несебър
51648,Николаево
51651,Никола Козлево
51723,Никопол
51809,Нова Загора
52009,Нови пазар
52180,Ново село
53535,Омуртаг
53552,Опака
53576,Опан
54020,Оряхово
55021,Павел баня
55052,Павликени
55155,Пазарджик
55302,Панагюрище
55871,Перник
55909,Перущица
56126,Петрич
56277,Пещера
56407,Пирдоп
56722,Плевен
56784,Пловдив
57354,Полски Тръмбеш
57491,Поморие
57649,Попово
57772,Пордим
58030,Правец
58356,Приморско
58503,Провадия
59080,Първомай
61460,Раднево
61577,Радомир
61710,Разград
61813,Разлог
62004,Ракитово
62075,Раковски
62671,Рила
56784,Родопи
62997,Роман
63207,Рудозем
63224,Руен
63255,Ружинци
63427,Русе
65139,Садово
65231,Самоков
65276,Самуил
65334,Сандански
65365,Сапарева баня
65440,Сатовча
65677,Свиленград
65766,Свищов
65869,Своге
65927,Севлиево
66264,Септември
66425,Силистра
47278,Симеоновград
66460,Симитли
66665,Ситово
67338,Сливен
67372,Сливница
67444,Сливо поле
67653,Смолян
67708,Смядово
67800,Созопол
68080,Сопот
17974,Средец
51980,Стамболийски
68727,Стамболово
68850,Стара Загора
68134,Столична
69633,Стражица
69660,Стралджа
69835,Стрелча
69969,Струмяни
70175,Суворово
70247,Сунгурларе
70295,Сухиндол
70528,Съединение
70648,Сърница
72165,Твърдица
72271,Тервел
72343,Тетевен
72761,Тополовград
73047,Трекляно
73198,Троян
73273,Трън
73403,Трявна
87374,Тунджа
73496,Тутракан
73626,Търговище
75054,Угърчин
77058,Хаджидимово
77102,Хайредин
77181,Харманли
77195,Хасково
77270,Хисаря
14516,Хитрино
48619,Царево
77308,Цар Калоян
78361,Ценово
80011,Чавдар
80323,Челопеч
80371,Чепеларе
80501,Червен бряг
81236,Черноочене
81390,Чипровци
81414,Чирпан
81757,Чупрене
83017,Шабла
83510,Шумен
87014,Ябланица
87299,Якимово
87338,Якоруда
87374,Ямбол
