postal_code,location,manuplicity,admin_center
4645,АБЛАНИЦА,ВЕЛИНГРАД,ПАЗАРДЖИК
5574,АБЛАНИЦА,ЛОВЕЧ,ЛОВЕЧ
2932,АБЛАНИЦА,ХАДЖИДИМОВО,БЛАГОЕВГРАД
9407,АБРИТ,КРУШАРИ,ДОБРИЧ
6797,АВРАМОВО,АРДИНО,КЪРДЖАЛИ
2795,АВРАМОВО,ЯКОРУДА,БЛАГОЕВГРАД
9135,АВРЕН,АВРЕН,ВАРНА
6930,АВРЕН,КРУМОВГРАД,КЪРДЖАЛИ
5431,АГАТОВО,СЕВЛИЕВО,ГАБРОВО
5350,АЗМАНИТЕ,ТРЯВНА,ГАБРОВО
7538,АЙДЕМИР,СИЛИСТРА,СИЛИСТРА
6639,АЙРОВО,КЪРДЖАЛИ,КЪРДЖАЛИ
8500,АЙТОС,АЙТОС,БУРГАС
4483,АКАНДЖИЕВО,БЕЛОВО,ПАЗАРДЖИК
3727,АКАЦИЕВО,ВИДИН,ВИДИН
9154,АКСАКОВО,АКСАКОВО,ВАРНА
4984,АЛАМОВЦИ,ЗЛАТОГРАД,СМОЛЯН
6850,АЛБАНЦИ,ДЖЕБЕЛ,КЪРДЖАЛИ
9620,АЛБЕНА,БАЛЧИК,ДОБРИЧ
7752,АЛВАНОВО,ТЪРГОВИЩЕ,ТЪРГОВИЩЕ
2222,АЛДОМИРОВЦИ,СЛИВНИЦА,СОФИЯ
4411,АЛЕКО КОНСТАНТИНОВО,ПАЗАРДЖИК,ПАЗАРДЖИК
7555,АЛЕКОВО,АЛФАТАР,СИЛИСТРА
5288,АЛЕКОВО,СВИЩОВ,ВЕЛИКО ТЪРНОВО
9404,АЛЕКСАНДРИЯ,КРУШАРИ,ДОБРИЧ
5560,АЛЕКСАНДРОВО,ЛОВЕЧ,ЛОВЕЧ
6154,АЛЕКСАНДРОВО,ПАВЕЛ БАНЯ,СТАРА ЗАГОРА
8211,АЛЕКСАНДРОВО,ПОМОРИЕ,БУРГАС
5289,АЛЕКСАНДРОВО,СВИЩОВ,ВЕЛИКО ТЪРНОВО
9829,АЛЕКСАНДРОВО,СМЯДОВО,ШУМЕН
8653,АЛЕКСАНДРОВО,СТРАЛДЖА,ЯМБОЛ
7761,АЛЕКСАНДРОВО,ТЪРГОВИЩЕ,ТЪРГОВИЩЕ
6351,АЛЕКСАНДРОВО,ХАСКОВО,ХАСКОВО
9565,АЛЕКСАНДЪР СТАМБОЛИЙСКИ,ГЕНЕРАЛ ТОШЕВО,ДОБРИЧ
4621,АЛЕНДАРОВА,ВЕЛИНГРАД,ПАЗАРДЖИК
4787,АЛИГОВСКА,СМОЛЯН,СМОЛЯН
2019,АЛИНО,САМОКОВ,СОФИЯ
3251,АЛТИМИР,БЯЛА СЛАТИНА,ВРАЦА
7570,АЛФАТАР,АЛФАТАР,СИЛИСТРА
9434,АЛЦЕК,ДОБРИЧ,ДОБРИЧ
6373,АНГЕЛ ВОЙВОДА,МИНЕРАЛНИ БАНИ,ХАСКОВО
9483,АНГЕЛАРИЙ,ТЕРВЕЛ,ДОБРИЧ
5342,АНГЕЛОВ,ГАБРОВО,ГАБРОВО
4331,АНЕВО,СОПОТ,ПЛОВДИВ
3776,АНТИМОВО,ВИДИН,ВИДИН
7628,АНТИМОВО,ТУТРАКАН,СИЛИСТРА
2089,АНТОН,АНТОН,СОФИЯ
7970,АНТОНОВО,АНТОНОВО,ТЪРГОВИЩЕ
5094,АПЛАЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
2128,АПРИЛОВО,ГОРНА МАЛИНА,СОФИЯ
6281,АПРИЛОВО,ГЪЛЪБОВО,СТАРА ЗАГОРА
7864,АПРИЛОВО,ПОПОВО,ТЪРГОВИЩЕ
6888,АПРИЛЦИ,КИРКОВО,КЪРДЖАЛИ
4445,АПРИЛЦИ,ПАЗАРДЖИК,ПАЗАРДЖИК
5641,АПРИЛЦИ,АПРИЛЦИ,ЛОВЕЧ
