CODE,NAME
00014,с. Абланица
00028,с. Абланица
00031,с. Абрит
00045,с. Мокрен
00059,с. Аврамово
00062,с. Аврамово
00084,с. Аврен
00093,с. Аврен
00103,с. Агатово
00117,с. Азманите
00120,с. Върбен
00134,с. Изгрев
00148,с. Айрово
00151,гр. Айтос
00165,с. Аканджиево
00179,с. Акациево
00182,гр. Аксаково
00196,с. Аламовци
00206,с. Албанци
00215,с. Алваново
00223,с. Алдомировци
00237,с. Алеково
00240,с. Алеково
00254,с. Алеко Константиново
00268,с. Александрия
00271,с. Александрово
00285,с. Александрово
00299,с. Александрово
00309,с. Александрово
00312,с. Александрово
00326,с. Александрово
00330,с. Александрово
00343,с. Александрово
00357,гр. Нови Искър
00360,с. Александър Стамболийски
00374,с. Самуилово
00388,с. Алиговска
00391,с. Алино
00401,с. Алтимир
00415,гр. Алфатар
00429,с. Алцек
00432,с. Ангеларий
00446,с. Ангел войвода
00456,с. Ангелов
00480,с. Анево
00494,с. Антимово
00504,с. Антон
00518,гр. Антоново
00521,с. Аплаци
00549,с. Априлово
00552,с. Априлово
00566,с. Априлово
00571,с. Априлци
00583,с. Арбанаси
00597,с. Арда
00607,гр. Ардино
00610,с. Арзан
00624,с. Арковна
00638,с. Армените
00641,с. Армянковци
00655,с. Арнаутито
00669,с. Арпаджик
00672,с. Арчар
00697,с. Асен
00702,гр. Асеновград
00713,с. Асеновец
00730,с. Асеново
00744,с. Асеново
00758,с. Асеново
00761,с. Асеновци
00775,с. Аспарухово
00789,с. Аспарухово
00792,с. Аспарухово
00802,с. Аспарухово
00816,с. Атолово
00828,с. Ауста
00833,гр. Ахелой
00847,с. Ахматово
00850,с. Гълъбово
00864,с. Ахрянско
00878,гр. Ахтопол
00881,с. Абланица
00895,с. Айдемир
00905,с. Априлци
00919,с. Антимово
02021,с. Баба Тонка
02035,с. Бабек
02049,с. Бабино
02052,с. Бабинска река
02066,с. Бабица
02076,с. Баблон
02083,с. Бабово
02097,с. Бабук
02107,с. Бабяк
02110,с. Багалевци
02124,с. Багра
02138,с. Багренци
02141,с. Багрилци
02155,с. Багрянка
02169,с. Бадевци
02172,с. Бадино
02191,с. Баевци
02207,с. Баевци
02213,с. Баждари
02227,с. Байкал
02230,с. Байкалско
02244,с. Байково
02258,с. Байлово
02261,с. Бакалите
02289,с. Бакьово
02292,с. Балабаново
02302,с. Балабанско
02333,с. Балалея
02347,с. Баланите
02350,с. Баланово
02364,с. Балван
02378,с. Балванците
02381,с. Балдево
02395,с. Балей
02405,с. Балик
02419,с. Балиновци
02436,с. Балкан
02448,с. Балканец
02453,с. Балкан махала
02467,с. Балкански
02470,с. Балканци
02484,с. Балканци
02498,с. Балуци
02508,гр. Балчик
02511,с. Балша
02539,с. Бальовци
02542,с. Балювица
02556,с. Банари
02563,с. Бангейци
02587,с. Баниска
02590,с. Баница
02600,с. Баничан
02614,с. Банище
02628,с. Банковец
02631,с. Банковци
02645,с. Банкя
02659,гр. Банкя
02662,с. Баново
02676,гр. Банско
02689,с. Банчовци
02693,с. Баня
